  Muni Age    Pop
110001   0    275
110001   1   1221
110001   5   1677
110001  10   1570
110001  15   1522
110001  20   1292
110001  25   1144
110001  30   1081
110001  35   1026
110001  40    852
110001  45    597
110001  50    428
110001  55    366
110001  60    345
110001  65    249
110001  70    155
110001  75     74
110001  80     50
110037   0    164
110037   1    690
110037   5    915
110037  10    719
110037  15    710
110037  20    664
110037  25    614
110037  30    585
110037  35    442
110037  40    340
110037  45    269
110037  50    223
110037  55    198
110037  60    147
110037  65     97
110037  70     62
110037  75     28
110037  80     16
110040   0    149
110040   1    645
110040   5    805
110040  10    787
110040  15    792
110040  20    702
110040  25    630
110040  30    549
110040  35    496
110040  40    377
110040  45    294
110040  50    249
110040  55    235
110040  60    165
110040  65    129
110040  70     83
110040  75     33
110040  80     21
110034   0    215
110034   1    979
110034   5   1198
110034  10   1160
110034  15   1139
110034  20   1036
110034  25    874
110034  30    780
110034  35    698
110034  40    551
110034  45    453
110034  50    349
110034  55    269
110034  60    250
110034  65    189
110034  70    153
110034  75     66
110034  80     48
110002   0    904
110002   1   3594
110002   5   4353
110002  10   4269
110002  15   4072
110002  20   3571
110002  25   3247
110002  30   3165
110002  35   2771
110002  40   2248
110002  45   1659
110002  50   1228
110002  55    919
110002  60    751
110002  65    551
110002  70    367
110002  75    184
110002  80    142
110045   0    331
110045   1   1266
110045   5   1612
110045  10   1532
110045  15   1605
110045  20   1427
110045  25   1207
110045  30   1079
110045  35    926
110045  40    769
110045  45    613
110045  50    493
110045  55    400
110045  60    263
110045  65    136
110045  70     69
110045  75     35
110045  80     18
110003   0     79
110003   1    296
110003   5    411
110003  10    476
110003  15    448
110003  20    341
110003  25    327
110003  30    289
110003  35    264
110003  40    236
110003  45    187
110003  50    140
110003  55    150
110003  60    107
110003  65     99
110003  70     51
110003  75     32
110003  80     29
110060   0     62
110060   1    255
110060   5    326
110060  10    319
110060  15    318
110060  20    278
110060  25    243
110060  30    233
110060  35    191
110060  40    170
110060  45    131
110060  50    109
110060  55    101
110060  60     65
110060  65     43
110060  70     32
110060  75     18
110060  80     12
110004   0    709
110004   1   3190
110004   5   4120
110004  10   4192
110004  15   4129
110004  20   3592
110004  25   3103
110004  30   3018
110004  35   2784
110004  40   2223
110004  45   1690
110004  50   1287
110004  55    916
110004  60    773
110004  65    572
110004  70    456
110004  75    261
110004  80    203
110070   0    160
110070   1    617
110070   5    750
110070  10    749
110070  15    717
110070  20    569
110070  25    542
110070  30    474
110070  35    388
110070  40    348
110070  45    275
110070  50    219
110070  55    178
110070  60    118
110070  65    100
110070  70     42
110070  75     10
