  Muni Age    Pop
110110  50    232
110110  55    193
110110  60    132
110110  65    121
110110  70     62
110110  75     36
110110  80     32
110011   0    390
110011   1   1572
110011   5   2315
110011  10   2587
110011  15   2550
110011  20   2541
110011  25   2509
110011  30   2222
110011  35   1878
110011  40   1729
110011  45   1483
110011  50   1168
110011  55    890
110011  60    647
110011  65    516
110011  70    429
110011  75    290
110011  80    289
110012   0    960
110012   1   3776
110012   5   5000
110012  10   5410
110012  15   5674
110012  20   5663
110012  25   5462
110012  30   4833
110012  35   4236
110012  40   4021
110012  45   3561
110012  50   2747
110012  55   2125
110012  60   1498
110012  65   1037
110012  70    790
110012  75    520
110012  80    511
110013   0    284
110013   1   1208
110013   5   1679
110013  10   1731
110013  15   1661
110013  20   1398
110013  25   1391
110013  30   1355
110013  35   1125
110013  40   1056
110013  45    912
110013  50    803
110013  55    660
110013  60    473
110013  65    339
110013  70    263
110013  75    114
110013  80     84
110120   0     93
110120   1    347
110120   5    499
110120  10    557
110120  15    560
110120  20    465
110120  25    367
110120  30    380
110120  35    417
110120  40    416
110120  45    305
110120  50    215
110120  55    203
110120  60    147
110120  65    121
110120  70    100
110120  75     62
110120  80     50
110130   0     94
110130   1    360
110130   5    591
110130  10    615
110130  15    623
110130  20    487
110130  25    503
110130  30    491
110130  35    442
110130  40    373
110130  45    344
110130  50    263
110130  55    236
110130  60    177
110130  65    130
110130  70    135
110130  75    106
110130  80     79
110140   0     99
110140   1    519
110140   5    755
110140  10    861
110140  15    716
110140  20    563
110140  25    581
110140  30    578
110140  35    525
110140  40    510
110140  45    395
110140  50    339
110140  55    283
110140  60    227
110140  65    174
110140  70    142
110140  75     84
110140  80     57
110014   0    128
110014   1    564
110014   5    858
110014  10   1130
110014  15   1135
110014  20    886
110014  25    878
110014  30    862
110014  35    775
110014  40    696
110014  45    605
110014  50    482
110014  55    377
110014  60    329
110014  65    241
110014  70    187
110014  75    118
110014  80     93
110033   0    212
110033   1    890
110033   5   1288
110033  10   1305
110033  15   1084
110033  20    979
110033  25   1002
110033  30   1005
110033  35    823
110033  40    765
110033  45    681
110033  50    508
110033  55    366
110033  60    313
110033  65    181
110033  70    149
110033  75     98
110033  80     86
110143   0     67
110143   1    236
110143   5    372
110143  10    477
110143  15    464
110143  20    327
110143  25    299
110143  30    297
110143  35    300
110143  40    260
110143  45    228
110143  50    183
110143  55    156
110143  60    109
110143  65     90
110143  70     67
110143  75     26
110143  80     41
110050   0     61
110050   1    323
110050   5    447
110050  10    515
110050  15    587
110050  20    431
110050  25    345
110050  30    413
110050  35    406
110050  40    375
110050  45    365
110050  50    292
110050  55    208
110050  60    187
110050  65    142
110050  70    115
110050  75     63
110050  80     61
110015   0    275
110015   1   1118
110015   5   1586
110015  10   1848
110015  15   1839
110015  20   1832
110015  25   1728
110015  30   1495
110015  35   1302
110015  40   1257
110015  45   1222
110015  50    871
110015  55    667
110015  60    551
110015  65    390
110015  70    299
110015  75    218
110015  80    200
110145   0     55
110145   1    170
110145   5    228
110145  10    281
110145  15    278
110145  20    222
110145  25    219
110145  30    182
110145  35    190
110145  40    182
110145  45    157
110145  50    114
110145  55    105
110145  60     77
110145  65     58
110145  70     48
110145  75     15
110145  80     14
110018   0    261
110018   1   1081
110018   5   1478
110018  10   1689
110018  15   1707
110018  20   1791
110018  25   1556
110018  30   1393
110018  35   1188
110018  40   1109
110018  45   1019
110018  50    842
110018  55    622
110018  60    436
110018  65    346
110018  70    219
110018  75    142
110018  80    162
110146   0     22
110146   1     92
110146   5    124
110146  10    133
110146  15    117
110146  20     90
110146  25     85
110146  30     84
110146  35     95
110146  40     87
110146  45     68
110146  50     63
110146  55     39
110146  60     44
110146  65     37
110146  70     21
110146  75      3
110146  80     14
110020   0   3495
110020   1  14526
110020   5  18649
110020  10  21065
110020  15  21134
110020  20  24129
110020  25  22820
110020  30  19772
110020  35  15925
110020  40  14573
110020  45  12716
110020  50  10009
110020  55   6953
110020  60   4628
110020  65   2978
110020  70   1853
110020  75   1165
110020  80   1228
110025   0    156
110025   1    647
110025   5    925
110025  10   1092
110025  15   1161
110025  20    951
110025  25    942
110025  30    824
110025  35    759
110025  40    782
110025  45    718
110025  50    622
110025  55    496
110025  60    383
110025  65    303
110025  70    216
110025  75    171
110025  80    161
110147   0     22
110147   1     98
110147   5    167
110147  10    205
110147  15    175
110147  20    142
110147  25    154
110147  30    144
110147  35    109
110147  40    128
110147  45    133
110147  50     83
110147  55     93
110147  60     65
110147  65     46
110147  70     41
110147  75     21
110147  80     30
110026   0     30
110026   1    124
110026   5    173
110026  10    168
110026  15    136
110026  20    123
110026  25    151
110026  30    132
110026  35    136
110026  40    126
110026  45    122
110026  50     97
110026  55     73
110026  60     55
110026  65     41
110026  70     38
110026  75     23
110026  80     19
110028   0    373
110028   1   1565
110028   5   2205
110028  10   2364
110028  15   2543
110028  20   2486
110028  25   2216
110028  30   2092
110028  35   1915
110028  40   1751
110028  45   1502
110028  50   1181
110028  55    869
110028  60    677
110028  65    494
110028  70    402
110028  75    277
110028  80    258
110029   0     77
110029   1    264
110029   5    358
110029  10    455
110029  15    452
110029  20    410
110029  25    368
110029  30    346
110029  35    336
110029  40    341
110029  45    321
110029  50    226
110029  55    181
110029  60    131
110029  65    126
110029  70     88
110029  75     52
110029  80     64
110148   0     38
110148   1    172
110148   5    247
110148  10    290
110148  15    277
110148  20    220
110148  25    237
110148  30    264
110148  35    209
110148  40    239
110148  45    208
110148  50    169
110148  55    158
110148  60    115
110148  65    101
110148  70     66
110148  75     44
110148  80     32
110149   0    150
110149   1    614
110149   5    853
110149  10    925
110149  15    848
110149  20    753
110149  25    725
110149  30    659
110149  35    651
110149  40    524
110149  45    451
110149  50    369
110149  55    294
110149  60    233
110149  65    149
110149  70    108
110149  75     61
110149  80     48
110032   0    175
110032   1    753
110032   5   1089
110032  10   1201
110032  15   1156
110032  20   1001
110032  25    965
110032  30    921
110032  35    821
110032  40    782
110032  45    674
110032  50    532
110032  55    377
110032  60    303
110032  65    242
110032  70    167
110032  75    101
110032  80     68
110150   0     92
110150   1    362
110150   5    626
110150  10    683
110150  15    644
110150  20    530
110150  25    476
110150  30    477
110150  35    437
110150  40    413
110150  45    367
110150  50    290
110150  55    249
110150  60    144
110150  65    103
110150  70     97
110150  75     57
110150  80     40
110155   0     27
110155   1    135
110155   5    204
110155  10    265
110155  15    264
110155  20    243
110155  25    230
110155  30    152
110155  35    163
110155  40    185
110155  45    174
110155  50    124
110155  55     80
110155  60    101
110155  65     58
110155  70     46
110155  75     43
110155  80     46
110160   0     85
110160   1    347
110160   5    500
110160  10    620
110160  15    566
110160  20    433
110160  25    467
110160  30    440
110160  35    411
110160  40    348
110160  45    379
110160  50    289
110160  55    245
110160  60    188
110160  65    135
110160  70     93
110160  75     64
110160  80     43
110170   0     96
110170   1    407
110170   5    607
110170  10    701
110170  15    672
110170  20    577
110170  25    552
110170  30    553
110170  35    457
110170  40    419
110170  45    381
110170  50    317
110170  55    329
110170  60    236
110170  65    157
110170  70    134
110170  75     68
110170  80     68
110175   0     82
110175   1    351
110175   5    467
110175  10    549
110175  15    482
110175  20    380
110175  25    392
110175  30    386
110175  35    320
110175  40    334
110175  45    294
110175  50    268
110175  55    220
110175  60    153
110175  65    123
110175  70     85
110175  75     56
110175  80     37
110180   0     53
110180   1    254
110180   5    338
110180  10    467
110180  15    447
110180  20    331
110180  25    347
110180  30    310
110180  35    297
110180  40    320
110180  45    275
110180  50    230
110180  55    173
110180  60    140
110180  65     90
110180  70     83
110180  75     48
110180  80     41
110030   0    636
110030   1   2545
110030   5   3400
110030  10   3599
110030  15   3539
110030  20   3795
110030  25   3653
110030  30   3225
110030  35   2815
110030  40   2673
110030  45   2329
110030  50   1758
110030  55   1230
110030  60    893
110030  65    684
110030  70    473
110030  75    311
110030  80    224
120001   0    120
120001   1    526
120001   5    715
120001  10    851
120001  15    671
120001  20    527
120001  25    520
120001  30    490
120001  35    446
120001  40    360
120001  45    338
120001  50    270
120001  55    241
120001  60    186
120001  65    127
120001  70     87
120001  75     72
120001  80     45
120005   0     72
120005   1    321
120005   5    363
120005  10    335
120005  15    316
120005  20    278
120005  25    281
120005  30    240
120005  35    185
120005  40    162
120005  45    128
120005  50    124
120005  55     78
120005  60     71
120005  65     48
120005  70     37
120005  75     25
120005  80     27
120010   0    208
120010   1    883
120010   5   1184
120010  10   1235
120010  15   1168
120010  20   1016
120010  25    878
120010  30    890
120010  35    737
120010  40    691
120010  45    512
120010  50    439
120010  55    323
120010  60    260
120010  65    191
120010  70    177
120010  75    125
120010  80    120
120013   0     92
120013   1    355
120013   5    518
120013  10    602
120013  15    441
120013  20    352
120013  25    345
120013  30    387
120013  35    285
120013  40    256
120013  45    195
120013  50    190
120013  55    165
120013  60    134
120013  65    120
120013  70     55
120013  75     29
120013  80     48
120017   0     85
120017   1    405
120017   5    567
120017  10    619
120017  15    468
120017  20    334
120017  25    332
120017  30    310
120017  35    282
120017  40    305
120017  45    239
120017  50    200
120017  55    147
120017  60    136
120017  65     96
120017  70     63
120017  75     32
120017  80     35
120020   0    827
120020   1   3585
120020   5   4813
120020  10   5026
120020  15   4271
120020  20   3809
120020  25   3632
120020  30   3100
120020  35   2379
120020  40   1798
120020  45   1419
120020  50   1133
120020  55    954
120020  60    771
120020  65    625
120020  70    414
120020  75    290
120020  80    374
120025   0    164
120025   1    577
120025   5    840
120025  10    840
120025  15    791
120025  20    693
120025  25    628
120025  30    572
120025  35    551
120025  40    454
120025  45    371
120025  50    277
120025  55    240
120025  60    179
120025  65    167
120025  70    113
120025  75     87
120025  80     82
120030   0    420
120030   1   1794
120030   5   2257
120030  10   2320
120030  15   1819
120030  20   1630
120030  25   1272
120030  30   1122
120030  35    925
120030  40    796
120030  45    627
120030  50    453
120030  55    323
120030  60    322
120030  65    234
120030  70    154
120030  75    124
120030  80    124
120032   0    113
120032   1    461
120032   5    541
120032  10    522
120032  15    377
120032  20    330
120032  25    251
120032  30    218
120032  35    173
120032  40    127
120032  45     95
120032  50     68
120032  55     51
120032  60     19
120032  65     20
120032  70     15
120032  75      7
120032  80     24
120033   0    202
120033   1    760
120033   5    995
120033  10   1068
120033  15    854
120033  20    736
120033  25    676
120033  30    587
120033  35    453
120033  40    338
120033  45    264
120033  50    229
120033  55    187
120033  60    157
120033  65    130
120033  70     99
120033  75     46
120033  80     55
120034   0     93
120034   1    434
120034   5    570
120034  10    608
120034  15    466
120034  20    376
120034  25    341
120034  30    305
120034  35    235
120034  40    197
120034  45    142
120034  50    134
120034  55    105
120034  60     85
120034  65     51
120034  70     50
120034  75     37
120034  80     26
120035   0    197
120035   1    956
120035   5   1158
120035  10   1136
120035  15    924
120035  20    670
120035  25    606
120035  30    440
120035  35    371
120035  40    276
120035  45    197
120035  50    160
120035  55    112
120035  60    101
120035  65     50
120035  70     47
120035  75     35
120035  80     27
120038   0    178
120038   1    750
120038   5   1064
120038  10   1025
120038  15    960
120038  20    731
120038  25    692
120038  30    616
120038  35    553
120038  40    510
120038  45    443
120038  50    370
120038  55    312
120038  60    268
120038  65    177
120038  70    151
120038  75     89
120038  80    110
120080   0    149
120080   1    629
120080   5    938
120080  10   1021
120080  15    822
120080  20    563
120080  25    561
120080  30    583
120080  35    481
120080  40    442
120080  45    374
120080  50    317
120080  55    270
120080  60    226
120080  65    162
120080  70    132
120080  75     91
120080  80     84
120039   0    151
120039   1    627
120039   5    760
120039  10    739
120039  15    523
120039  20    409
120039  25    359
120039  30    310
120039  35    248
120039  40    188
120039  45    116
120039  50    105
120039  55     88
120039  60     55
120039  65     41
120039  70     27
120039  75     21
120039  80     27
120040   0   2889
120040   1  12547
120040   5  16319
120040  10  17935
120040  15  16357
120040  20  16538
120040  25  16303
120040  30  14228
120040  35  11624
120040  40   9893
120040  45   7707
120040  50   6303
120040  55   4889
120040  60   3385
120040  65   2409
120040  70   1706
120040  75   1134
120040  80   1426
120042   0    183
120042   1    791
120042   5   1110
120042  10   1062
120042  15    793
120042  20    667
120042  25    591
120042  30    521
120042  35    437
120042  40    312
120042  45    266
120042  50    180
120042  55    178
120042  60    137
120042  65    111
120042  70     65
120042  75     34
120042  80     41
120043   0     65
120043   1    331
120043   5    394
120043  10    288
120043  15    259
120043  20    268
120043  25    215
120043  30    174
120043  35    110
120043  40     80
120043  45     63
120043  50     46
120043  55     31
120043  60     44
120043  65     18
120043  70      8
120043  75      7
120043  80      5
