Municipio;0 a 6 dias;7 a 27 dias;28 a 364 dias;Menor 1 ano (ign);Menor que 1 ano;1 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 24 anos;25 a 29 anos;30 a 34 anos;35 a 39 anos;40 a 44 anos;45 a 49 anos;50 a 54 anos;55 a 59 anos;60 a 64 anos;65 a 69 anos;70 a 74 anos;75 a 79 anos;80 anos e mais;Idade ignorada;Total
270100 Boca da Mata;0;0;2;0;2;1;1;0;1;3;0;2;2;0;0;3;1;2;5;3;6;9;4;45
270110 Branquinha;0;0;7;0;7;3;0;0;1;1;0;0;0;1;1;2;3;1;1;1;3;1;0;26
270120 Cacimbinhas;1;0;3;0;4;1;0;0;0;0;0;0;1;1;2;1;2;2;1;2;1;6;0;24
270130 Cajueiro;1;1;6;0;8;0;0;1;2;1;1;1;2;1;2;3;2;4;6;3;3;6;0;46
270135 Campestre;0;0;3;0;3;1;0;0;2;0;0;1;0;0;1;0;2;5;0;1;2;7;0;25
270140 Campo Alegre;6;1;7;0;14;4;0;2;0;1;2;3;3;5;5;3;1;3;7;3;1;7;0;64
270150 Campo Grande;2;0;2;0;4;1;0;0;1;0;0;0;1;1;2;0;0;2;1;0;1;9;0;23
270160 Canapi;3;1;5;0;9;0;0;0;0;0;1;1;1;3;1;2;0;1;0;2;1;4;0;26
270170 Capela;0;0;1;0;1;1;0;0;0;2;0;0;1;2;1;3;1;5;1;4;1;7;2;32
270180 Carneiros;1;0;3;0;4;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;1;3;0;13
270190 Chã Preta;0;0;3;0;3;0;1;0;1;1;1;0;2;1;1;0;0;2;4;3;1;5;0;26
270200 Coité do Nóia;1;1;5;0;7;1;0;0;0;0;0;1;0;0;1;3;1;0;1;1;1;8;0;25
270210 Colônia Leopoldina;3;4;20;0;27;3;0;0;0;0;1;0;1;1;4;2;1;2;4;4;3;8;0;61
270220 Coqueiro Seco;1;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;1;2;0;0;1;0;8
270230 Coruripe;16;4;17;0;37;3;0;0;0;2;2;2;1;9;4;5;5;6;7;7;9;15;1;115
270235 Craíbas;1;1;9;0;11;0;0;0;0;1;1;0;3;0;6;0;2;0;1;7;7;8;0;47
270240 Delmiro Gouveia;2;0;11;0;13;4;0;0;1;1;0;2;2;4;5;10;9;6;5;8;15;34;0;119
270250 Dois Riachos;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;1;1;3;10;0;21
270255 Estrela de Alagoas;0;0;3;0;3;0;0;1;1;1;0;0;0;0;1;0;1;0;0;4;1;1;0;14
270260 Feira Grande;2;1;7;0;10;1;0;0;1;0;0;1;0;0;0;1;3;3;3;7;2;12;0;44
270270 Feliz Deserto;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2;1;0;0;6
270280 Flexeiras;1;1;3;0;5;0;0;1;1;0;0;0;0;0;0;0;1;1;1;0;0;1;0;11
270290 Girau do Ponciano;2;2;7;0;11;2;2;1;3;1;2;1;0;4;3;1;3;2;4;4;4;16;0;64
270300 Ibateguara;3;2;3;0;8;0;0;1;0;1;1;0;0;3;0;2;0;2;1;2;0;2;0;23
270310 Igaci;1;0;4;0;5;0;0;1;0;0;1;0;2;0;3;1;2;2;2;3;2;13;0;37
270320 Igreja Nova;2;0;3;0;5;2;1;0;0;0;0;0;0;1;0;3;2;0;1;3;5;16;0;39
270330 Inhapi;0;0;6;0;6;0;0;0;0;0;0;1;0;1;0;0;2;1;2;2;5;10;0;30
270340 Jacaré dos Homens;0;0;2;0;2;0;0;0;0;1;2;0;1;0;0;0;0;2;0;1;0;7;0;16
270350 Jacuípe;0;0;2;0;2;0;0;0;0;1;0;1;0;0;2;2;1;0;0;1;0;2;0;12
270360 Japaratinga;2;0;0;0;2;0;0;0;0;0;0;2;1;0;0;0;1;2;0;3;0;4;1;16
270370 Jaramataia;0;0;1;0;1;0;0;0;1;0;0;0;2;0;0;0;0;0;1;0;1;2;0;8
270380 Joaquim Gomes;2;0;4;0;6;2;1;0;1;2;0;0;1;0;0;3;1;3;0;1;3;6;1;31
270390 Jundiá;2;0;4;0;6;0;0;1;0;0;0;0;2;0;1;1;1;0;3;1;0;1;1;18
270400 Junqueiro;0;0;2;0;2;0;0;0;2;0;2;3;1;1;1;1;1;6;5;4;3;18;0;50
270410 Lagoa da Canoa;0;0;2;0;2;2;0;0;0;0;0;0;4;1;1;2;4;3;0;1;5;16;0;41
270420 Limoeiro de Anadia;3;1;7;0;11;2;0;0;1;0;0;0;1;1;2;1;1;3;8;5;5;10;0;51
270430 Maceió;114;22;74;0;210;30;11;11;25;43;29;29;57;60;80;105;112;121;165;206;163;421;45;1923
270440 Major Isidoro;2;0;11;0;13;1;0;0;0;0;1;2;0;1;3;2;1;1;3;4;2;12;0;46
270490 Mar Vermelho;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;2;1;0;6
270450 Maragogi;4;1;6;0;11;3;0;0;0;0;1;0;2;1;1;0;2;3;1;3;6;12;0;46
270460 Maravilha;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;1;1;0;5;0;10
270470 Marechal Deodoro;6;3;12;0;21;6;0;0;0;1;0;3;1;2;2;2;5;7;12;9;7;21;0;99
270480 Maribondo;0;1;2;0;3;0;0;0;0;0;0;0;0;1;0;2;0;3;2;5;1;13;0;30
270500 Mata Grande;2;0;4;0;6;0;0;0;1;0;0;1;1;0;1;3;0;0;4;3;6;19;0;45
270510 Matriz de Camaragibe;2;0;3;0;5;2;0;0;0;0;1;2;1;0;0;1;3;4;4;1;1;10;0;35
270520 Messias;0;1;3;0;4;2;0;0;1;0;1;1;0;1;1;2;0;3;0;1;0;2;0;19
270530 Minador do Negrão;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;3;4;0;11
270540 Monteirópolis;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;6;0;9
270550 Murici;0;0;0;0;0;1;1;1;0;0;2;0;0;4;1;1;1;1;1;1;4;4;0;23
