"","Muni","Age","Death"
"215","110090",75,"   0"
"216","110090",80,"   1"
"217","110005",0,"   1"
"218","110005",1,"  0"
"219","110005",5,"  0"
"220","110005",10,"  0"
"221","110005",15,"  0"
"222","110005",20,"  1"
"223","110005",25,"  0"
"224","110005",30,"  0"
"225","110005",35,"  0"
"226","110005",40,"  0"
"227","110005",45,"   0"
"228","110005",50,"   0"
"229","110005",55,"   1"
"230","110005",60,"   2"
"231","110005",65,"   1"
"232","110005",70,"   0"
"233","110005",75,"   0"
"234","110005",80,"   0"
"235","110092",0,"   1"
"236","110092",1,"  0"
"237","110092",5,"  0"
"238","110092",10,"  0"
"239","110092",15,"  0"
"240","110092",20,"  0"
"241","110092",25,"  1"
"242","110092",30,"  0"
"243","110092",35,"  1"
"244","110092",40,"  0"
"245","110092",45,"   0"
"246","110092",50,"   0"
"247","110092",55,"   0"
"248","110092",60,"   0"
"249","110092",65,"   0"
"250","110092",70,"   0"
"251","110092",75,"   0"
"252","110092",80,"   0"
"253","110006",0,"   2"
"254","110006",1,"  1"
"255","110006",5,"  0"
"256","110006",10,"  1"
"257","110006",15,"  1"
"258","110006",20,"  2"
"259","110006",25,"  0"
"260","110006",30,"  2"
"261","110006",35,"  3"
"262","110006",40,"  2"
"263","110006",45,"   3"
"264","110006",50,"   2"
"265","110006",55,"   0"
"266","110006",60,"   5"
"267","110006",65,"   5"
"268","110006",70,"   3"
"269","110006",75,"   6"
"270","110006",80,"   6"
"271","110007",0,"   0"
"272","110007",1,"  0"
"273","110007",5,"  1"
"274","110007",10,"  0"
"275","110007",15,"  0"
"276","110007",20,"  0"
"277","110007",25,"  0"
"278","110007",30,"  0"
"279","110007",35,"  1"
"280","110007",40,"  0"
"281","110007",45,"   0"
"282","110007",50,"   0"
"283","110007",55,"   1"
"284","110007",60,"   0"
"285","110007",65,"   0"
"286","110007",70,"   0"
"287","110007",75,"   0"
"288","110007",80,"   0"
"289","110008",0,"   4"
"290","110008",1,"  1"
"291","110008",5,"  0"
"292","110008",10,"  0"
"293","110008",15,"  0"
"294","110008",20,"  0"
"295","110008",25,"  1"
"296","110008",30,"  0"
"297","110008",35,"  0"
"298","110008",40,"  0"
"299","110008",45,"   0"
"300","110008",50,"   1"
"301","110008",55,"   1"
"302","110008",60,"   0"
"303","110008",65,"   1"
"304","110008",70,"   1"
"305","110008",75,"   0"
"306","110008",80,"   0"
"307","110094",0,"   0"
"308","110094",1,"  1"
"309","110094",5,"  0"
"310","110094",10,"  0"
"311","110094",15,"  0"
"312","110094",20,"  0"
"313","110094",25,"  1"
"314","110094",30,"  0"
"315","110094",35,"  0"
"316","110094",40,"  1"
"317","110094",45,"   0"
"318","110094",50,"   0"
"319","110094",55,"   0"
"320","110094",60,"   0"
"321","110094",65,"   0"
"322","110094",70,"   0"
"323","110094",75,"   0"
"324","110094",80,"   0"
"325","110009",0,"   5"
"326","110009",1,"  1"
"327","110009",5,"  0"
"328","110009",10,"  1"
"329","110009",15,"  1"
"330","110009",20,"  1"
"331","110009",25,"  2"
"332","110009",30,"  0"
"333","110009",35,"  1"
"334","110009",40,"  0"
"335","110009",45,"   0"
"336","110009",50,"   3"
"337","110009",55,"   3"
"338","110009",60,"   3"
"339","110009",65,"   3"
"340","110009",70,"   3"
"341","110009",75,"   1"
"342","110009",80,"   9"
"343","110100",0,"   4"
"344","110100",1,"  1"
"345","110100",5,"  0"
"346","110100",10,"  0"
"347","110100",15,"  0"
"348","110100",20,"  0"
"349","110100",25,"  0"
"350","110100",30,"  0"
"351","110100",35,"  0"
"352","110100",40,"  0"
"353","110100",45,"   0"
"354","110100",50,"   0"
"355","110100",55,"   0"
"356","110100",60,"   1"
"357","110100",65,"   0"
"358","110100",70,"   0"
"359","110100",75,"   1"
"360","110100",80,"   1"
"361","110010",0,"   3"
"362","110010",1,"  0"
"363","110010",5,"  1"
"364","110010",10,"  1"
"365","110010",15,"  0"
"366","110010",20,"  1"
"367","110010",25,"  3"
"368","110010",30,"  2"
"369","110010",35,"  3"
"370","110010",40,"  1"
"371","110010",45,"   1"
"372","110010",50,"   4"
"373","110010",55,"   4"
"374","110010",60,"   3"
"375","110010",65,"   2"
"376","110010",70,"   7"
"377","110010",75,"   3"
"378","110010",80,"  14"
"379","110110",0,"   0"
"380","110110",1,"  0"
"381","110110",5,"  0"
"382","110110",10,"  0"
"383","110110",15,"  0"
