Municipio;0 a 6 dias;7 a 27 dias;28 a 364 dias;Menor 1 ano (ign);Menor que 1 ano;1 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 24 anos;25 a 29 anos;30 a 34 anos;35 a 39 anos;40 a 44 anos;45 a 49 anos;50 a 54 anos;55 a 59 anos;60 a 64 anos;65 a 69 anos;70 a 74 anos;75 a 79 anos;80 anos e mais;Idade ignorada;Total
110001 Alta Floresta D'Oeste;4;1;0;0;5;0;0;1;1;2;3;0;0;0;0;0;3;8;2;2;2;6;0;35
110037 Alto Alegre dos Parecis;2;0;1;0;3;1;0;1;0;2;0;0;1;1;0;1;0;0;1;0;1;0;0;12
110040 Alto Paraíso;0;0;1;0;1;0;0;0;0;1;0;1;0;0;0;2;0;1;1;1;4;3;0;15
110034 Alvorada D'Oeste;5;0;3;0;8;1;0;0;0;1;2;1;0;2;0;1;2;1;0;1;0;3;1;24
110002 Ariquemes;8;1;2;0;11;3;1;6;6;3;3;5;6;4;3;3;10;5;14;9;12;11;1;116
110045 Buritis;1;1;1;0;3;0;0;0;1;0;2;0;0;0;2;1;2;0;0;0;1;1;0;13
110003 Cabixi;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;1;0;1;1;1;0;8
110060 Cacaulândia;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;1;0;0;4
110004 Cacoal;8;1;1;0;10;0;0;0;3;2;1;5;2;4;4;5;8;4;10;12;11;17;0;98
110070 Campo Novo de Rondônia;3;0;1;0;4;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;9
110080 Candeias do Jamari;0;1;1;1;3;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;6
110090 Castanheiras;1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;1;1;1;0;0;7
110005 Cerejeiras;0;0;0;0;0;0;0;0;0;1;0;1;2;0;1;2;2;4;1;1;4;6;0;25
110092 Chupinguaia;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;4
110006 Colorado do Oeste;1;0;0;0;1;0;0;0;0;1;1;0;1;0;2;0;1;3;7;2;2;7;0;28
110007 Corumbiara;1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
110008 Costa Marques;2;0;3;0;5;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;2;0;10
110094 Cujubim;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2
110009 Espigão D'Oeste;5;0;3;0;8;2;0;0;3;0;1;0;2;2;2;1;2;1;3;5;2;4;0;38
110100 Governador Jorge Teixeira;0;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;3;0;8
110010 Guajará-Mirim;3;0;2;0;5;0;0;0;3;0;5;1;2;1;3;0;1;0;3;1;1;14;0;40
110110 Itapuã do Oeste;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;2;0;0;0;6
110011 Jaru;8;2;3;0;13;2;0;1;0;0;2;1;0;1;3;5;3;7;8;5;6;9;1;67
110012 Ji-Paraná;12;1;6;0;19;4;2;0;7;4;4;8;8;4;7;4;13;7;18;12;19;21;0;161
110013 Machadinho D'Oeste;0;0;1;0;1;2;2;1;0;1;0;0;1;1;2;1;2;3;2;2;3;3;0;27
110120 Ministro Andreazza;0;0;0;0;0;0;0;0;1;0;1;0;0;2;0;2;1;1;1;1;2;6;0;18
110130 Mirante da Serra;5;0;3;0;8;1;0;0;0;0;0;0;1;1;0;0;0;1;1;0;1;2;0;16
110140 Monte Negro;1;0;0;0;1;0;0;0;1;0;1;0;0;2;2;0;1;2;0;1;0;2;0;13
110014 Nova Brasilândia D'Oeste;1;0;2;0;3;0;2;0;0;0;1;0;0;0;0;2;2;4;3;4;1;9;0;31
110033 Nova Mamoré;0;0;0;0;0;0;1;1;2;3;0;0;0;0;3;0;0;0;2;0;3;1;0;16
110143 Nova União;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;3;0;0;7
110050 Novo Horizonte do Oeste;2;1;0;0;3;0;1;0;0;0;1;0;0;0;0;0;1;1;1;0;0;3;0;11
110015 Ouro Preto do Oeste;4;1;0;0;5;0;0;1;4;1;0;0;2;3;5;4;2;4;7;8;8;17;0;71
110145 Parecis;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2
110018 Pimenta Bueno;4;0;3;0;7;0;0;2;0;1;0;0;2;1;4;3;2;5;3;6;3;10;0;49
110146 Pimenteiras do Oeste;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
110020 Porto Velho;63;9;28;0;100;22;8;11;18;26;30;42;29;41;51;38;50;45;46;47;40;84;0;728
110025 Presidente Médici;3;0;1;0;4;0;0;0;0;1;0;2;3;3;0;1;3;3;3;0;12;5;0;40
110147 Primavera de Rondônia;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;5
110026 Rio Crespo;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
110028 Rolim de Moura;5;1;2;0;8;2;4;0;0;0;1;4;4;2;4;6;6;7;4;15;8;15;0;90
110029 Santa Luzia D'Oeste;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;1;1;3;1;0;4;0;13
110148 São Felipe D'Oeste;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;3
110149 São Francisco do Guaporé;3;0;0;0;3;2;0;0;0;0;1;0;0;3;0;1;1;0;1;1;0;2;0;15
110032 São Miguel do Guaporé;1;1;2;0;4;2;0;0;0;4;2;1;3;0;1;0;3;1;0;0;1;5;0;27
110150 Seringueiras;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;1;1;0;1;0;7
