  Muni Age    Pop
110001   0    240
110001   1   1132
110001   5   1580
110001  10   1532
110001  15   1472
110001  20   1216
110001  25   1118
110001  30    977
110001  35    925
110001  40    648
110001  45    476
110001  50    356
110001  55    324
110001  60    251
110001  65    170
110001  70    101
110001  75     45
110001  80     46
110037   0    148
110037   1    613
110037   5    778
110037  10    677
110037  15    657
110037  20    586
110037  25    550
110037  30    441
110037  35    333
110037  40    275
110037  45    205
110037  50    191
110037  55    150
110037  60    101
110037  65     54
110037  70     35
110037  75     16
110037  80     15
110040   0    155
110040   1    604
110040   5    760
110040  10    687
110040  15    688
110040  20    554
110040  25    527
110040  30    443
110040  35    374
110040  40    310
110040  45    248
110040  50    204
110040  55    174
110040  60    106
110040  65     66
110040  70     35
110040  75     24
110040  80     18
110034   0    176
110034   1    859
110034   5   1201
110034  10   1075
110034  15   1173
110034  20    960
110034  25    778
110034  30    662
110034  35    612
110034  40    514
110034  45    419
110034  50    273
110034  55    245
110034  60    187
110034  65    152
110034  70     66
110034  75     43
110034  80     30
110002   0    880
110002   1   3297
110002   5   4221
110002  10   4206
110002  15   4117
110002  20   3774
110002  25   3479
110002  30   3132
110002  35   2517
110002  40   1980
110002  45   1512
110002  50   1086
110002  55    804
110002  60    569
110002  65    426
110002  70    246
110002  75    146
110002  80    116
110045   0    323
110045   1   1273
110045   5   1550
110045  10   1498
110045  15   1525
110045  20   1243
110045  25   1015
110045  30    895
110045  35    783
110045  40    596
110045  45    458
110045  50    277
110045  55    208
110045  60    101
110045  65     66
110045  70     41
110045  75     17
110045  80     18
110003   0     74
110003   1    305
110003   5    408
110003  10    451
110003  15    420
110003  20    297
110003  25    276
110003  30    255
110003  35    236
110003  40    195
110003  45    175
110003  50    131
110003  55     96
110003  60    105
110003  65     59
110003  70     35
110003  75     17
110003  80     21
110060   0     59
110060   1    249
110060   5    310
110060  10    287
110060  15    281
110060  20    256
110060  25    208
110060  30    175
110060  35    142
110060  40    144
110060  45    116
110060  50     63
110060  55     75
110060  60     43
110060  65     30
110060  70     16
110060  75      7
110060  80      5
110004   0    722
110004   1   2956
110004   5   3953
110004  10   4135
110004  15   4017
110004  20   3718
110004  25   3301
110004  30   3121
110004  35   2625
110004  40   2180
110004  45   1583
110004  50   1105
110004  55    887
110004  60    726
110004  65    545
110004  70    394
110004  75    197
110004  80    185
110070   0    138
110070   1    574
110070   5    711
110070  10    683
110070  15    614
110070  20    524
110070  25    451
110070  30    337
110070  35    311
110070  40    263
110070  45    210
110070  50    138
110070  55     98
110070  60     64
110070  65     38
110070  70     13
110070  75      9
