"","Muni","Age","Death"
"216","110090",80,"   1"
"217","110005",0,"   1"
"218","110005",1,"  1"
"219","110005",5," 0"
"220","110005",10,"  0"
"221","110005",15,"  1"
"222","110005",20,"  2"
"223","110005",25,"  1"
"224","110005",30,"  2"
"225","110005",35,"   1"
"226","110005",40,"   0"
"227","110005",45,"   3"
"228","110005",50,"   3"
"229","110005",55,"   4"
"230","110005",60,"   6"
"231","110005",65,"   4"
"232","110005",70,"   6"
"233","110005",75,"   5"
"234","110005",80,"   9"
"235","110092",0,"   0"
"236","110092",1,"  0"
"237","110092",5," 0"
"238","110092",10,"  0"
"239","110092",15,"  0"
"240","110092",20,"  0"
"241","110092",25,"  1"
"242","110092",30,"  1"
"243","110092",35,"   0"
"244","110092",40,"   0"
"245","110092",45,"   1"
"246","110092",50,"   1"
"247","110092",55,"   2"
"248","110092",60,"   1"
"249","110092",65,"   1"
"250","110092",70,"   1"
"251","110092",75,"   2"
"252","110092",80,"   2"
"253","110006",0,"   2"
"254","110006",1,"  0"
"255","110006",5," 1"
"256","110006",10,"  1"
"257","110006",15,"  3"
"258","110006",20,"  1"
"259","110006",25,"  0"
"260","110006",30,"  0"
"261","110006",35,"   1"
"262","110006",40,"   1"
"263","110006",45,"   2"
"264","110006",50,"   4"
"265","110006",55,"   3"
"266","110006",60,"   7"
"267","110006",65,"  12"
"268","110006",70,"   5"
"269","110006",75,"   5"
"270","110006",80,"   9"
"271","110007",0,"   3"
"272","110007",1,"  0"
"273","110007",5," 2"
"274","110007",10,"  1"
"275","110007",15,"  0"
"276","110007",20,"  2"
"277","110007",25,"  0"
"278","110007",30,"  0"
"279","110007",35,"   0"
"280","110007",40,"   0"
"281","110007",45,"   1"
"282","110007",50,"   0"
"283","110007",55,"   3"
"284","110007",60,"   3"
"285","110007",65,"   0"
"286","110007",70,"   2"
"287","110007",75,"   0"
"288","110007",80,"   1"
"289","110008",0,"   2"
"290","110008",1,"  0"
"291","110008",5," 0"
"292","110008",10,"  0"
"293","110008",15,"  0"
"294","110008",20,"  1"
"295","110008",25,"  1"
"296","110008",30,"  3"
"297","110008",35,"   1"
"298","110008",40,"   1"
"299","110008",45,"   1"
"300","110008",50,"   2"
"301","110008",55,"   1"
"302","110008",60,"   2"
"303","110008",65,"   3"
"304","110008",70,"   2"
"305","110008",75,"   1"
"306","110008",80,"   2"
"307","110094",0,"   1"
"308","110094",1,"  0"
"309","110094",5," 0"
"310","110094",10,"  0"
"311","110094",15,"  0"
"312","110094",20,"  2"
"313","110094",25,"  2"
"314","110094",30,"  0"
"315","110094",35,"   0"
"316","110094",40,"   2"
"317","110094",45,"   2"
"318","110094",50,"   4"
"319","110094",55,"   4"
"320","110094",60,"   3"
"321","110094",65,"   3"
"322","110094",70,"   2"
"323","110094",75,"   0"
"324","110094",80,"   4"
"325","110009",0,"   3"
"326","110009",1,"  2"
"327","110009",5," 0"
"328","110009",10,"  0"
"329","110009",15,"  1"
"330","110009",20,"  4"
"331","110009",25,"  0"
"332","110009",30,"  2"
"333","110009",35,"   2"
"334","110009",40,"   7"
"335","110009",45,"   4"
"336","110009",50,"   6"
"337","110009",55,"   2"
"338","110009",60,"   7"
"339","110009",65,"   5"
"340","110009",70,"  11"
"341","110009",75,"  14"
"342","110009",80,"  13"
"343","110100",0,"   2"
"344","110100",1,"  0"
"345","110100",5," 0"
"346","110100",10,"  0"
"347","110100",15,"  0"
"348","110100",20,"  1"
"349","110100",25,"  1"
"350","110100",30,"  1"
"351","110100",35,"   2"
"352","110100",40,"   2"
"353","110100",45,"   1"
"354","110100",50,"   0"
"355","110100",55,"   0"
"356","110100",60,"   1"
"357","110100",65,"   2"
"358","110100",70,"   0"
"359","110100",75,"   0"
"360","110100",80,"   6"
"361","110010",0,"   7"
"362","110010",1,"  2"
"363","110010",5," 1"
"364","110010",10,"  3"
"365","110010",15,"  2"
"366","110010",20,"  4"
"367","110010",25,"  4"
"368","110010",30,"  1"
"369","110010",35,"   2"
"370","110010",40,"   7"
"371","110010",45,"  10"
"372","110010",50,"   6"
"373","110010",55,"   6"
"374","110010",60,"  10"
"375","110010",65,"   5"
"376","110010",70,"  11"
"377","110010",75,"   7"
"378","110010",80,"  31"
"379","110110",0,"   2"
"380","110110",1,"  1"
"381","110110",5," 0"
"382","110110",10,"  0"
"383","110110",15,"  1"
"384","110110",20,"  2"
"385","110110",25,"  0"
"386","110110",30,"  3"
"387","110110",35,"   3"
"388","110110",40,"   5"
"389","110110",45,"   1"
"390","110110",50,"   0"
"391","110110",55,"   2"
"392","110110",60,"   3"
"393","110110",65,"   4"
"394","110110",70,"   1"
"395","110110",75,"   1"
"396","110110",80,"   0"
"397","110011",0,"   3"
"398","110011",1,"  2"
"399","110011",5," 2"
"400","110011",10,"  0"
"401","110011",15,"  4"
"402","110011",20,"  6"
"403","110011",25,"  7"
"404","110011",30,"  8"
"405","110011",35,"   4"
"406","110011",40,"   8"
"407","110011",45,"   8"
"408","110011",50,"   7"
"409","110011",55,"  13"
"410","110011",60,"   4"
"411","110011",65,"   7"
"412","110011",70,"  11"
"413","110011",75,"  19"
"414","110011",80,"  22"
"415","110012",0,"  14"
"416","110012",1,"  3"
"417","110012",5," 2"
"418","110012",10,"  4"
"419","110012",15,"  9"
"420","110012",20," 14"
"421","110012",25," 22"
"422","110012",30," 17"
"423","110012",35,"  15"
"424","110012",40,"  13"
"425","110012",45,"  28"
"426","110012",50,"  27"
"427","110012",55,"  32"
"428","110012",60,"  31"
"429","110012",65,"  44"
