Municipio;0 a 6 dias;7 a 27 dias;28 a 364 dias;Menor 1 ano (ign);Menor que 1 ano;1 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 24 anos;25 a 29 anos;30 a 34 anos;35 a 39 anos;40 a 44 anos;45 a 49 anos;50 a 54 anos;55 a 59 anos;60 a 64 anos;65 a 69 anos;70 a 74 anos;75 a 79 anos;80 anos e mais;Idade ignorada;Total
110001 Alta Floresta D'Oeste;8;3;6;0;17;1;4;2;4;3;3;2;5;6;11;6;6;8;8;4;8;7;1;106
110037 Alto Alegre dos Parecis;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;2;1;5;2;1;2;0;0;16
110040 Alto Paraíso;0;0;0;0;0;0;0;1;0;0;1;1;1;0;1;0;1;1;2;1;1;0;1;12
110034 Alvorada D'Oeste;1;0;3;0;4;0;0;0;1;0;0;3;2;3;2;4;5;4;0;2;5;6;0;41
110002 Ariquemes;13;2;8;0;23;7;4;3;3;10;10;6;15;9;14;10;13;9;18;16;4;19;4;197
110045 Buritis;4;2;2;0;8;2;0;1;2;5;2;5;3;0;0;2;0;2;2;2;0;0;1;37
110003 Cabixi;2;0;2;0;4;0;1;1;0;0;1;0;3;1;1;0;0;0;1;1;1;1;0;16
110060 Cacaulândia;1;0;0;0;1;1;0;0;0;0;0;1;0;0;1;1;1;0;1;0;1;2;0;10
110004 Cacoal;9;0;7;0;16;10;3;4;4;7;9;3;7;8;6;8;7;19;13;18;19;33;5;199
110070 Campo Novo de Rondônia;1;0;2;0;3;0;0;0;3;0;0;2;0;1;1;2;0;1;0;1;0;0;1;15
110080 Candeias do Jamari;0;0;0;0;0;1;0;2;3;2;1;3;2;2;2;1;1;1;0;1;1;0;1;24
110090 Castanheiras;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;1;0;5
110005 Cerejeiras;2;0;0;0;2;1;0;0;0;1;1;0;1;0;2;1;1;1;4;6;1;1;1;24
110092 Chupinguaia;0;0;0;0;0;0;1;1;0;1;2;0;0;1;1;0;0;0;4;1;1;0;6;19
110006 Colorado do Oeste;0;0;3;0;3;1;0;0;1;3;2;2;4;4;1;2;4;5;7;2;6;7;0;54
110007 Corumbiara;1;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;2;1;1;0;8
110008 Costa Marques;0;1;2;0;3;0;0;0;0;0;0;0;2;2;2;2;0;1;1;2;1;0;0;16
110094 Cujubim;1;1;0;0;2;0;0;0;0;0;1;1;1;0;0;0;1;0;0;0;0;1;0;7
110009 Espigão D'Oeste;5;1;2;0;8;2;0;0;2;4;5;3;3;2;3;2;5;5;4;6;6;8;0;68
110100 Governador Jorge Teixeira;1;0;0;0;1;5;0;0;3;1;0;2;0;0;2;0;1;2;0;0;0;0;0;17
110010 Guajará-Mirim;8;1;1;0;10;0;1;2;3;5;3;3;6;3;1;2;8;3;6;7;12;24;0;99
110110 Itapuã do Oeste;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;4
110011 Jaru;9;0;8;0;17;2;3;3;10;12;5;4;4;7;3;7;8;12;11;6;12;9;0;135
110012 Ji-Paraná;18;0;12;0;30;6;2;3;5;14;13;10;11;14;7;10;17;20;27;25;17;25;0;256
110013 Machadinho D'Oeste;1;0;0;0;1;2;0;0;1;0;1;1;1;2;3;0;0;4;5;1;1;0;1;24
110120 Ministro Andreazza;1;0;0;0;1;0;1;0;1;2;0;1;1;0;1;2;1;1;2;2;2;5;0;23
110130 Mirante da Serra;0;1;1;0;2;0;0;1;0;1;2;1;0;5;2;2;2;0;3;0;1;3;0;25
110140 Monte Negro;6;1;2;0;9;0;0;0;3;1;2;2;1;0;0;2;3;1;2;2;1;1;1;31
110014 Nova Brasilândia D'Oeste;5;1;0;0;6;1;0;0;3;3;1;0;0;2;1;6;2;4;7;3;3;3;0;45
110033 Nova Mamoré;0;0;2;0;2;1;0;0;2;0;3;0;0;1;2;1;2;1;2;1;2;1;0;21
110143 Nova União;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;1;0;1;2;0;7
110050 Novo Horizonte do Oeste;1;1;0;0;2;1;0;0;1;0;1;0;2;0;0;0;1;0;1;2;0;0;0;11
110015 Ouro Preto do Oeste;6;1;2;0;9;2;0;4;3;5;4;2;4;2;12;6;6;8;7;9;12;14;1;110
110018 Pimenta Bueno;4;1;3;0;8;0;0;1;3;3;6;10;6;5;2;2;5;10;5;3;10;4;2;85
110020 Porto Velho;101;20;62;0;183;35;8;9;38;68;62;71;72;78;76;67;71;73;76;82;63;70;3;1205
110025 Presidente Médici;6;1;1;0;8;0;0;3;3;3;4;1;3;4;3;2;5;5;9;13;7;7;0;80
110147 Primavera de Rondônia;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;2;0;1;0;1;0;0;6
110026 Rio Crespo;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;3
110028 Rolim de Moura;14;2;0;0;16;1;1;5;3;3;6;8;2;1;6;7;6;11;10;14;8;14;0;122
110029 Santa Luzia D'Oeste;0;1;0;0;1;0;1;0;0;1;2;2;2;0;1;1;1;1;3;1;2;2;0;21
110148 São Felipe D'Oeste;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;5
110149 São Francisco do Guaporé;2;0;3;0;5;0;0;0;1;0;1;2;1;0;0;4;1;0;1;1;0;0;0;17
110032 São Miguel do Guaporé;1;1;1;0;3;0;0;1;1;3;0;1;2;2;3;1;3;2;2;1;2;3;1;31
110150 Seringueiras;1;1;0;0;2;1;0;0;0;0;1;3;1;1;1;1;0;2;3;2;0;1;0;19
110155 Teixeirópolis;2;0;0;0;2;1;0;0;0;0;0;0;1;0;1;1;1;0;0;1;0;1;0;9
110160 Theobroma;1;0;2;0;3;0;0;0;1;1;1;0;0;2;1;1;1;2;1;0;0;0;0;14
110170 Urupá;0;0;0;0;0;1;1;1;0;1;0;1;1;1;1;1;1;0;1;2;1;1;0;15
110175 Vale do Anari;1;0;0;0;1;0;0;0;0;0;2;0;0;2;0;0;1;1;2;1;1;0;0;11
110180 Vale do Paraíso;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;1;0;6
110030 Vilhena;4;0;3;0;7;1;2;1;5;7;4;3;9;3;10;6;10;11;17;11;9;7;2;125
