Municipio;0 a 6 dias;7 a 27 dias;28 a 364 dias;Menor 1 ano (ign);Menor que 1 ano;1 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 24 anos;25 a 29 anos;30 a 34 anos;35 a 39 anos;40 a 44 anos;45 a 49 anos;50 a 54 anos;55 a 59 anos;60 a 64 anos;65 a 69 anos;70 a 74 anos;75 a 79 anos;80 anos e mais;Idade ignorada;Total
110026 Rio Crespo;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;0;0;0;0;1;0;0;0;6
110028 Rolim de Moura;8;2;1;0;11;2;1;2;3;4;1;4;6;5;9;5;13;14;16;10;15;21;0;142
110029 Santa Luzia D'Oeste;0;0;0;0;0;0;0;0;1;1;0;1;1;2;1;0;1;5;2;5;0;3;0;23
110148 São Felipe D'Oeste;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;1;1;1;4;2;1;1;14
110149 São Francisco do Guaporé;2;0;3;0;5;1;0;0;0;2;2;4;2;4;2;0;2;3;1;0;0;3;0;31
110032 São Miguel do Guaporé;3;0;2;0;5;0;0;0;0;0;1;2;3;4;1;6;2;4;2;2;1;3;0;36
110150 Seringueiras;3;0;0;0;3;1;0;0;1;1;4;3;1;2;1;1;3;0;2;0;0;0;0;23
110155 Teixeirópolis;2;0;1;0;3;2;0;0;0;1;2;0;1;1;1;0;1;2;0;1;0;1;0;16
110160 Theobroma;1;0;0;0;1;1;0;0;0;0;0;1;0;1;0;0;1;0;0;2;1;1;1;10
110170 Urupá;1;0;0;0;1;0;0;0;1;0;2;2;0;1;0;0;3;0;1;2;3;1;0;17
110175 Vale do Anari;0;0;2;0;2;0;0;0;0;2;0;0;0;2;1;0;0;0;0;0;0;0;0;7
110180 Vale do Paraíso;0;0;0;0;0;0;0;0;0;1;1;0;1;0;2;2;1;0;0;2;3;0;0;13
110030 Vilhena;8;2;6;0;16;3;1;2;9;9;10;8;10;9;9;6;7;14;14;11;6;9;0;153
110000 Município ignorado - RO;0;0;2;0;2;0;0;0;1;1;0;0;0;1;2;0;0;0;0;1;0;0;2;10
120001 Acrelândia;1;0;3;0;4;1;1;0;1;2;2;2;1;1;0;0;0;1;1;2;1;1;0;21
120005 Assis Brasil;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;2;0;0;0;0;0;4
120010 Brasiléia;1;0;1;0;2;0;0;1;0;2;2;0;2;2;1;5;2;2;5;9;2;10;0;47
120013 Bujari;1;0;1;0;2;0;0;1;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;6
120017 Capixaba;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;4
120020 Cruzeiro do Sul;18;4;10;0;32;7;0;6;11;14;14;10;14;7;10;11;11;16;3;12;9;35;0;222
120025 Epitaciolândia;3;0;0;0;3;0;0;0;1;0;1;1;3;1;1;1;0;3;2;5;2;9;0;33
120030 Feijó;1;0;5;0;6;1;0;2;4;3;1;2;1;0;2;2;1;4;4;3;3;14;0;53
120032 Jordão;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;3
120033 Mâncio Lima;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;3;0;5
120034 Manoel Urbano;0;1;1;0;2;0;0;0;0;0;1;0;1;1;0;0;0;0;1;0;0;0;0;6
120035 Marechal Thaumaturgo;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;2
120038 Plácido de Castro;4;1;1;0;6;1;0;0;0;1;0;2;1;1;0;2;1;1;2;4;2;4;0;28
120080 Porto Acre;0;1;1;0;2;0;0;0;0;0;1;0;2;0;0;0;1;0;3;0;0;1;0;10
120039 Porto Walter;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
120040 Rio Branco;63;10;31;0;104;15;3;14;26;58;32;42;35;42;36;37;33;58;48;69;83;142;0;877
120042 Rodrigues Alves;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;3
120043 Santa Rosa do Purus;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
120050 Sena Madureira;3;1;7;0;11;0;1;0;2;3;4;1;2;3;4;2;6;7;3;6;7;16;0;78
120045 Senador Guiomard;0;1;3;0;4;1;0;1;1;2;3;1;3;1;5;0;1;2;4;2;2;5;0;38
120060 Tarauacá;9;1;12;0;22;4;2;0;1;2;2;3;2;3;1;2;1;3;3;6;6;11;0;74
120070 Xapuri;2;0;0;0;2;0;0;0;0;0;2;4;3;1;0;2;2;2;3;6;1;5;0;33
130002 Alvarães;2;0;2;0;4;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;2;0;0;10
130006 Amaturá;1;0;2;0;3;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;8
130008 Anamã;1;1;2;0;4;0;1;0;0;0;0;1;0;0;0;0;1;1;2;2;0;3;0;15
130010 Anori;1;0;2;0;3;1;0;0;0;1;0;0;2;0;0;1;0;1;0;4;5;6;0;24
130014 Apuí;2;0;1;0;3;0;1;0;0;2;2;2;2;3;1;0;2;0;4;1;2;3;0;28
130020 Atalaia do Norte;4;1;3;0;8;1;0;0;2;1;0;0;0;2;1;1;2;2;0;2;1;3;0;26
130030 Autazes;8;4;7;0;19;3;2;2;4;2;3;0;0;2;3;2;4;1;5;6;3;8;0;69
130040 Barcelos;3;0;0;0;3;0;1;0;1;0;0;0;0;0;1;1;0;2;0;3;2;0;0;14
130050 Barreirinha;3;0;3;0;6;1;0;3;2;0;0;2;0;1;2;1;1;4;0;1;1;11;0;36
130060 Benjamin Constant;2;0;2;0;4;4;0;3;1;3;1;0;3;1;0;3;2;0;6;5;8;10;0;54
130063 Beruri;1;1;0;0;2;1;1;0;1;0;0;0;0;1;0;0;0;1;1;4;0;4;0;16
130068 Boa Vista do Ramos;2;0;3;0;5;0;0;1;0;2;1;1;1;1;1;0;1;0;2;0;4;7;0;27
130070 Boca do Acre;1;0;1;0;2;1;0;2;3;2;4;3;3;3;1;2;2;4;2;0;1;7;0;42
130080 Borba;10;0;1;0;11;3;1;1;1;0;1;0;0;1;0;9;0;0;2;5;7;9;0;51
130083 Caapiranga;0;0;4;0;4;1;1;0;0;2;0;0;0;1;0;1;0;0;2;1;0;3;0;16
130090 Canutama;3;1;0;0;4;0;0;0;0;1;0;0;1;0;0;0;0;1;2;0;3;1;0;13
130100 Carauari;7;2;11;0;20;4;1;1;2;3;5;1;0;1;4;3;4;3;2;3;3;11;0;71
130110 Careiro;1;0;0;0;1;1;1;3;5;0;0;0;1;0;1;1;0;0;1;2;2;4;0;23
130115 Careiro da Várzea;3;1;2;0;6;0;0;0;1;1;1;0;0;0;3;0;1;1;0;3;4;2;0;23
130120 Coari;14;2;7;0;23;4;3;1;9;5;4;6;0;4;6;2;3;5;4;7;4;17;0;107
130130 Codajás;0;0;2;0;2;0;2;0;0;0;0;0;2;0;1;0;0;0;3;2;0;2;0;14
130140 Eirunepé;7;1;6;0;14;4;3;2;3;0;0;2;3;1;2;2;4;0;3;5;6;5;0;59
130150 Envira;4;2;2;0;8;0;1;3;0;0;2;0;0;1;1;1;0;1;2;1;0;5;0;26
130160 Fonte Boa;2;0;2;0;4;2;1;0;0;2;1;1;0;1;0;2;1;1;4;1;2;7;0;30
130165 Guajará;1;1;0;0;2;0;0;0;2;2;0;0;0;0;0;2;1;0;0;2;0;1;0;12
130170 Humaitá;3;1;3;0;7;1;1;0;1;1;1;1;0;2;4;2;1;5;8;5;4;17;0;61
130180 Ipixuna;2;0;5;0;7;2;0;0;0;0;1;1;2;0;1;0;0;0;1;0;1;1;0;17
130185 Iranduba;2;1;2;0;5;0;1;0;1;5;2;0;1;3;3;3;0;4;1;3;3;4;0;39
130190 Itacoatiara;12;0;7;0;19;5;0;5;6;7;5;8;6;10;6;7;10;12;11;13;8;29;0;167
130195 Itamarati;1;0;3;0;4;2;1;2;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;12
130200 Itapiranga;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;2;2;3;1;2;0;5;0;18
130210 Japurá;1;0;0;0;1;0;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;5
130220 Juruá;0;0;0;0;0;0;1;1;1;0;1;0;1;1;0;0;0;0;1;0;0;2;0;9
130230 Jutaí;0;1;1;0;2;2;0;0;0;2;1;1;0;0;0;1;1;2;1;1;2;1;0;17
130240 Lábrea;3;1;2;0;6;1;1;2;1;0;0;1;0;1;2;0;1;1;2;2;1;2;0;24
130250 Manacapuru;19;2;6;0;27;7;1;1;3;7;4;6;3;10;5;11;7;11;16;12;12;29;0;172
130255 Manaquiri;1;0;1;0;2;0;1;0;1;1;0;0;0;0;1;0;0;2;0;2;3;2;0;15
130260 Manaus;277;97;181;0;555;102;51;43;133;200;172;169;164;189;184;186;209;242;275;331;294;432;2;3933
130270 Manicoré;1;1;1;0;3;0;0;0;2;2;0;2;0;1;0;2;5;5;6;5;4;14;0;51
130280 Maraã;5;0;1;0;6;2;2;0;0;2;0;2;0;0;1;0;0;0;2;1;1;2;0;21
130290 Maués;2;2;3;0;7;4;0;1;4;5;1;2;5;7;6;5;0;3;5;9;8;16;0;88
130300 Nhamundá;0;0;0;0;0;0;0;1;1;0;0;1;0;1;2;0;0;2;3;0;5;4;0;20
130310 Nova Olinda do Norte;2;1;2;0;5;1;4;1;1;2;2;1;0;1;1;3;3;3;0;1;8;10;0;47
130320 Novo Airão;2;0;1;0;3;4;0;0;0;1;2;0;2;1;1;0;5;0;4;2;1;2;0;28
130330 Novo Aripuanã;2;0;0;0;2;1;0;0;0;0;0;2;0;1;0;0;1;0;0;0;0;2;0;9
130340 Parintins;17;1;18;0;36;7;11;3;8;10;6;4;9;7;8;7;7;15;12;14;9;29;0;202
130350 Pauini;0;0;1;0;1;2;0;0;2;1;0;1;0;0;1;1;2;0;2;0;1;1;0;15
130353 Presidente Figueiredo;0;0;1;0;1;2;0;0;1;4;2;2;2;6;0;1;3;1;1;0;0;1;0;27
130356 Rio Preto da Eva;0;0;1;0;1;0;0;0;0;1;1;1;2;0;1;1;3;0;0;0;0;0;0;11
130360 Santa Isabel do Rio Negro;1;0;2;0;3;2;0;0;2;2;0;4;0;1;0;0;0;0;1;0;0;4;0;19
130370 Santo Antônio do Içá;0;1;2;0;3;0;2;2;1;0;0;1;2;1;0;0;0;0;1;3;0;1;0;17
130380 São Gabriel da Cachoeira;4;1;14;0;19;18;1;3;4;4;4;5;3;1;2;4;2;3;2;3;5;8;0;91
130390 São Paulo de Olivença;3;1;1;0;5;3;0;0;1;1;1;1;1;0;2;0;1;2;1;4;2;4;0;29
130395 São Sebastião do Uatumã;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;3;1;0;7
130400 Silves;3;1;0;0;4;1;0;0;1;1;0;0;0;0;0;0;0;1;0;1;0;3;0;12
130406 Tabatinga;7;5;7;0;19;3;1;4;3;2;6;7;4;3;7;0;5;1;1;3;3;3;1;76
130410 Tapauá;4;0;2;0;6;2;0;0;4;0;1;1;2;0;4;2;0;1;0;0;1;6;0;30
130420 Tefé;7;3;8;0;18;2;2;1;1;1;1;3;0;1;2;2;4;4;5;1;4;5;0;57
130423 Tonantins;3;0;1;0;4;1;0;1;0;2;0;1;0;0;0;0;0;0;0;1;0;2;0;12
130426 Uarini;1;1;5;0;7;3;1;0;0;1;1;0;0;0;1;0;1;0;0;0;1;1;0;17
130430 Urucará;1;0;3;0;4;1;1;0;0;2;0;1;0;0;0;1;1;2;0;2;0;1;0;16
130440 Urucurituba;7;0;0;0;7;3;1;0;1;1;2;1;1;1;1;1;1;2;1;4;3;7;0;38
130000 Município ignorado - AM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;4
140005 Alto Alegre;1;1;5;0;7;4;0;2;2;2;0;4;1;0;4;2;0;1;1;1;2;2;0;35
140002 Amajari;0;0;6;0;6;1;0;0;0;0;1;0;2;0;0;0;0;0;1;1;0;1;0;13
140010 Boa Vista;40;6;15;0;61;15;5;3;23;38;34;31;29;32;25;32;24;32;27;31;42;47;12;543
140015 Bonfim;1;0;2;0;3;0;0;0;0;1;0;1;0;1;1;0;0;0;0;2;0;3;0;12
140017 Cantá;1;0;0;0;1;0;0;0;1;1;0;1;0;1;0;1;1;0;0;1;2;0;0;10
140020 Caracaraí;1;0;1;0;2;0;1;1;0;2;4;1;1;2;3;3;2;4;1;4;1;2;0;34
140023 Caroebe;0;0;0;0;0;0;0;1;0;0;1;1;1;1;0;0;0;1;1;0;0;0;0;7
140028 Iracema;0;1;0;0;1;0;0;0;0;0;0;0;2;0;1;0;1;0;1;1;0;2;0;9
140030 Mucajaí;1;0;1;0;2;1;1;0;0;1;3;8;1;2;2;1;3;2;2;2;1;0;0;32
140040 Normandia;0;0;1;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;4
140045 Pacaraima;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;1;5
140047 Rorainópolis;2;1;1;0;4;0;2;1;2;2;3;1;1;5;4;4;3;3;1;0;2;2;0;40
140050 São João da Baliza;1;0;1;0;2;0;1;0;0;2;1;2;0;0;0;0;1;1;0;1;1;2;0;14
140060 São Luiz;0;0;0;0;0;0;0;0;0;0;1;3;0;1;0;3;0;2;0;1;2;1;0;14
140070 Uiramutã;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;0;1;0;0;5
140000 Município ignorado - RR;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;2
150010 Abaetetuba;22;8;13;0;43;12;8;1;12;5;7;4;4;6;6;15;10;13;23;24;13;51;0;257
150013 Abel Figueiredo;1;0;2;0;3;0;1;0;0;0;3;1;0;0;2;1;0;0;0;0;3;2;0;16
150020 Acará;6;0;4;0;10;3;3;1;1;4;0;2;0;1;5;0;4;0;5;3;5;6;0;53
150030 Afuá;5;1;0;0;6;1;2;1;1;2;1;2;0;1;0;1;1;1;0;0;1;4;0;25
150034 Água Azul do Norte;1;0;0;0;1;1;0;0;0;0;3;1;0;1;0;0;2;1;0;1;2;3;0;16
150040 Alenquer;4;0;1;0;5;0;0;2;1;2;0;4;1;3;5;4;4;4;3;11;10;22;0;81
150050 Almeirim;8;1;1;0;10;0;1;2;4;2;2;1;1;1;3;1;3;0;4;6;1;1;1;44
150060 Altamira;23;2;15;0;40;5;3;4;9;10;25;8;16;19;10;9;16;14;16;15;9;27;1;256
150070 Anajás;4;0;3;0;7;1;2;1;2;0;2;0;0;0;0;0;0;2;1;1;2;3;0;24
150080 Ananindeua;79;20;31;0;130;15;9;7;23;35;41;26;30;32;36;45;65;53;55;77;53;71;1;804
150085 Anapu;0;0;4;0;4;2;1;0;0;2;0;1;2;0;2;1;2;2;0;1;0;2;0;22
150090 Augusto Corrêa;2;1;3;0;6;2;0;0;0;1;1;1;0;2;4;0;3;0;1;7;4;8;0;40
150095 Aurora do Pará;2;0;5;0;7;2;0;0;1;1;1;2;1;0;1;2;0;1;2;3;2;3;0;29
150100 Aveiro;1;0;2;0;3;0;0;0;1;1;0;0;0;1;1;2;0;1;1;2;2;2;0;17
150110 Bagre;1;0;5;0;6;0;1;1;0;1;1;1;1;0;0;1;0;0;1;0;2;3;0;19
150120 Baião;3;0;2;0;5;3;0;0;1;0;1;0;1;1;2;2;2;3;3;6;7;4;0;41
150125 Bannach;0;0;1;0;1;0;0;0;0;1;0;0;0;1;0;1;0;2;0;0;2;0;0;8
150130 Barcarena;6;2;2;0;10;3;1;1;2;6;6;5;5;4;5;5;2;5;8;6;11;9;0;94
150140 Belém;201;84;100;0;385;58;40;30;141;150;143;136;139;169;212;235;279;318;324;364;331;533;10;3997
150145 Belterra;1;1;1;0;3;0;0;0;1;0;1;0;0;0;0;2;0;0;1;0;2;3;0;13
150150 Benevides;10;3;1;0;14;2;1;0;2;4;4;5;4;2;2;1;5;7;4;6;11;9;0;83
150157 Bom Jesus do Tocantins;4;1;1;0;6;1;0;0;0;2;0;3;2;2;1;0;4;2;4;4;1;7;0;39
150160 Bonito;1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;0;0;7
150170 Bragança;19;2;10;0;31;7;4;1;1;5;5;5;6;2;8;9;8;11;21;15;22;47;0;208
150172 Brasil Novo;0;0;1;0;1;1;0;0;0;0;0;1;2;4;0;1;3;2;3;3;3;2;2;28
150175 Brejo Grande do Araguaia;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;2;2;2;3;0;2;4;0;18
150178 Breu Branco;2;0;1;0;3;2;0;1;2;4;1;2;2;4;3;4;3;4;4;3;0;6;0;48
150180 Breves;22;4;11;0;37;10;4;2;7;4;8;7;3;3;5;4;6;2;10;12;10;30;0;164
150190 Bujaru;2;1;1;0;4;3;0;0;1;1;2;1;4;5;1;4;1;5;4;1;2;10;0;49
150200 Cachoeira do Arari;1;0;2;0;3;0;0;0;0;1;0;0;0;0;1;3;0;1;1;4;2;2;0;18
150195 Cachoeira do Piriá;0;0;3;0;3;0;0;1;2;0;0;2;1;0;0;2;2;0;3;0;0;0;0;16
150210 Cametá;12;2;7;0;21;11;0;1;2;5;2;2;1;1;4;2;3;6;4;7;9;11;0;92
150215 Canaã dos Carajás;2;1;2;0;5;0;0;0;3;1;1;2;0;2;0;2;3;1;1;0;1;0;0;22
150220 Capanema;12;2;2;0;16;4;0;1;2;3;0;3;3;2;2;3;5;15;10;14;14;24;0;121
150230 Capitão Poço;1;0;8;0;9;2;1;0;2;3;3;1;1;1;2;1;1;8;4;1;3;10;0;53
150240 Castanhal;17;4;3;0;24;6;4;3;13;23;19;14;18;15;22;15;17;30;32;25;29;59;1;369
150250 Chaves;1;0;1;0;2;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;5
150260 Colares;0;1;1;0;2;1;0;0;0;0;1;0;0;1;0;0;1;0;2;6;3;1;0;18
150270 Conceição do Araguaia;5;2;3;0;10;2;0;2;3;2;5;2;2;4;4;4;9;5;1;10;5;10;0;80
150275 Concórdia do Pará;3;0;4;0;7;3;0;1;2;4;0;0;1;2;0;4;1;4;2;2;6;2;0;41
150276 Cumaru do Norte;0;0;0;0;0;0;0;0;0;0;1;2;1;1;1;1;1;0;0;0;1;0;0;9
150277 Curionópolis;4;4;4;0;12;2;0;0;0;2;2;7;3;7;4;4;4;2;6;4;5;5;0;69
150280 Curralinho;1;0;1;0;2;6;1;1;0;0;2;0;0;2;0;2;0;0;1;1;0;3;0;21
150285 Curuá;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;2;0;7
150290 Curuçá;1;1;2;0;4;0;0;0;1;2;0;0;1;0;0;0;2;2;2;1;0;2;0;17
150293 Dom Eliseu;10;3;4;0;17;5;1;3;0;5;4;3;4;3;11;5;9;4;3;6;0;5;0;88
150295 Eldorado do Carajás;8;1;4;0;13;2;2;1;2;5;1;3;5;6;3;4;7;7;3;2;2;7;0;75
150300 Faro;6;0;0;0;6;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;10
150304 Floresta do Araguaia;0;0;2;0;2;1;1;0;0;2;0;2;1;1;2;0;3;2;4;1;3;2;0;27
150307 Garrafão do Norte;6;1;5;0;12;2;1;1;1;4;4;2;2;1;0;2;1;3;1;2;1;3;0;43
150309 Goianésia do Pará;2;1;2;0;5;2;2;2;5;5;1;4;5;4;2;6;3;3;8;4;5;4;2;72
150310 Gurupá;1;1;1;0;3;4;0;1;0;0;2;0;1;2;1;1;5;2;2;1;0;5;0;30
150320 Igarapé-Açu;4;4;4;0;12;1;0;0;1;2;2;1;1;2;6;5;5;6;6;10;7;21;0;88
150330 Igarapé-Miri;2;2;0;0;4;0;1;3;4;0;1;0;3;2;4;6;4;4;6;3;10;24;0;79
150340 Inhangapi;1;0;1;0;2;2;0;0;0;0;1;1;1;0;0;0;1;3;2;3;0;3;0;19
150345 Ipixuna do Pará;1;0;4;0;5;4;0;0;2;3;5;1;0;0;1;2;1;1;1;1;3;5;0;35
150350 Irituia;6;2;2;0;10;1;1;0;0;1;1;0;0;1;0;0;3;2;3;6;0;5;0;34
150360 Itaituba;23;6;15;0;44;7;6;5;12;11;12;8;20;26;15;16;20;11;10;8;9;5;4;249
150370 Itupiranga;3;0;3;0;6;3;0;2;3;2;2;1;0;4;1;4;2;6;8;3;4;6;0;57
150375 Jacareacanga;2;1;4;0;7;0;0;1;0;0;0;0;1;1;0;1;1;0;0;1;1;0;0;14
150380 Jacundá;9;1;10;0;20;5;1;1;3;12;12;8;12;10;7;10;8;10;11;13;8;12;0;163
150390 Juruti;7;0;1;0;8;1;1;1;0;2;0;1;0;1;1;1;2;1;0;3;0;8;0;31
150400 Limoeiro do Ajuru;2;0;1;0;3;1;1;0;1;2;1;0;1;0;2;0;2;1;2;2;1;6;0;26
150405 Mãe do Rio;9;1;6;0;16;3;1;1;1;1;1;2;4;5;3;2;1;1;3;8;3;13;0;69
150410 Magalhães Barata;2;0;0;0;2;0;1;0;0;2;0;0;0;0;0;0;0;1;1;1;0;2;0;10
150420 Marabá;46;9;39;0;94;16;9;3;23;42;35;28;32;34;37;34;44;29;39;53;42;60;0;654
150430 Maracanã;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;1;2;1;1;3;3;9;0;23
150440 Marapanim;0;1;0;0;1;2;0;0;1;2;1;1;0;0;1;0;4;2;0;1;4;12;0;32
150442 Marituba;9;8;5;0;22;1;1;8;3;7;8;10;17;13;9;9;10;14;8;17;12;13;1;183
150445 Medicilândia;8;0;3;0;11;0;3;1;2;3;3;1;4;1;1;2;6;2;1;3;1;0;0;45
150450 Melgaço;1;0;3;0;4;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;6;0;14
150460 Mocajuba;1;0;1;0;2;1;3;1;0;0;0;0;0;1;1;1;1;0;0;3;3;5;0;22
150470 Moju;4;2;5;0;11;1;2;0;1;3;1;7;1;2;4;3;2;5;7;3;3;12;0;68
150480 Monte Alegre;4;1;2;0;7;0;1;2;3;4;2;3;4;1;5;3;8;4;9;14;16;28;0;114
150490 Muaná;4;0;1;0;5;0;1;0;1;0;1;1;0;0;2;2;3;2;4;4;6;7;0;39
150495 Nova Esperança do Piriá;1;1;1;0;3;4;0;0;2;0;0;1;1;0;1;0;0;0;0;3;0;0;0;15
