Municipio;0 a 6 dias;7 a 27 dias;28 a 364 dias;Menor 1 ano (ign);Menor que 1 ano;1 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 24 anos;25 a 29 anos;30 a 34 anos;35 a 39 anos;40 a 44 anos;45 a 49 anos;50 a 54 anos;55 a 59 anos;60 a 64 anos;65 a 69 anos;70 a 74 anos;75 a 79 anos;80 anos e mais;Idade ignorada;Total
110001 Alta Floresta D'Oeste;3;1;3;0;7;0;0;1;3;1;3;3;3;8;5;4;6;8;10;8;2;4;0;76
110037 Alto Alegre dos Parecis;1;1;1;0;3;0;1;0;0;1;0;0;0;2;0;0;1;1;3;2;1;0;0;15
110040 Alto Paraíso;1;0;1;0;2;0;0;0;1;3;1;0;1;2;1;3;5;3;1;1;2;2;0;28
110034 Alvorada D'Oeste;4;1;1;0;6;1;1;0;3;2;4;3;4;1;3;1;5;5;1;5;2;5;0;52
110002 Ariquemes;12;0;7;0;19;4;0;2;7;17;17;14;10;15;9;14;17;10;14;16;11;18;0;214
110045 Buritis;3;1;4;0;8;2;0;1;2;8;4;4;4;2;7;5;3;3;0;1;2;2;3;61
110003 Cabixi;1;0;2;0;3;0;0;0;0;2;1;1;0;0;3;1;1;1;2;1;1;4;0;21
110060 Cacaulândia;1;0;1;0;2;0;0;1;1;0;1;0;2;1;1;2;1;1;0;1;0;0;0;14
110004 Cacoal;12;2;4;0;18;3;3;3;7;7;11;7;15;15;9;10;8;17;11;24;20;22;0;210
110070 Campo Novo de Rondônia;0;0;1;0;1;1;0;0;1;1;1;5;2;4;1;2;0;5;2;1;2;1;0;30
110080 Candeias do Jamari;2;1;3;1;7;0;0;0;0;0;0;0;1;2;0;0;1;2;4;1;1;2;1;22
110090 Castanheiras;0;0;0;0;0;0;0;0;1;1;2;0;0;0;0;2;0;2;0;0;0;0;0;8
110005 Cerejeiras;1;1;3;0;5;0;1;1;2;1;1;3;6;2;3;2;5;0;10;7;5;7;0;61
110092 Chupinguaia;1;0;0;0;1;0;0;0;2;1;2;2;1;2;1;0;2;1;1;0;0;0;2;18
110006 Colorado do Oeste;3;1;2;0;6;1;1;0;0;3;2;2;3;3;1;4;3;5;7;2;5;3;0;51
110007 Corumbiara;1;0;0;0;1;0;0;0;0;1;1;0;0;1;1;0;1;0;0;2;1;0;0;9
110008 Costa Marques;1;1;0;0;2;0;0;1;0;2;0;2;1;2;1;2;4;2;1;3;2;2;0;27
110094 Cujubim;0;0;1;0;1;0;0;0;0;3;2;1;1;2;1;1;0;1;0;0;0;0;0;13
110009 Espigão D'Oeste;2;1;3;0;6;1;1;1;0;2;5;3;5;4;4;2;4;5;7;7;8;9;0;74
110100 Governador Jorge Teixeira;1;0;0;0;1;0;0;0;0;0;0;2;0;0;0;1;3;0;2;3;0;1;1;14
110010 Guajará-Mirim;6;1;1;0;8;3;0;1;1;4;3;3;2;4;3;3;4;8;4;8;12;14;0;85
110110 Itapuã do Oeste;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;1;1;0;5;1;11
110011 Jaru;5;3;5;0;13;2;0;3;2;8;9;7;3;8;6;6;4;14;15;15;13;16;1;145
110012 Ji-Paraná;21;1;5;0;27;4;4;3;5;15;18;17;12;18;21;12;22;21;27;25;20;43;0;314
110013 Machadinho D'Oeste;5;1;3;0;9;0;0;0;1;4;4;1;5;8;1;5;3;4;5;1;1;3;0;55
110120 Ministro Andreazza;1;0;1;0;2;1;0;2;1;0;0;1;0;0;3;1;2;2;4;2;6;3;0;30
110130 Mirante da Serra;1;0;1;0;2;2;0;0;1;2;0;2;1;0;3;1;0;1;4;2;2;3;0;26
110140 Monte Negro;2;0;0;0;2;0;0;1;1;0;1;1;2;2;0;1;1;3;1;5;1;2;0;24
110014 Nova Brasilândia D'Oeste;3;1;1;0;5;1;1;0;1;1;6;1;3;2;4;3;1;3;8;5;1;3;0;49
110033 Nova Mamoré;1;0;2;0;3;0;0;0;4;0;0;2;1;0;2;3;2;3;1;2;3;2;0;28
110143 Nova União;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;1;1;0;0;1;0;6
110050 Novo Horizonte do Oeste;0;0;0;0;0;0;0;0;1;0;0;1;2;0;0;0;0;1;0;1;1;1;0;8
110015 Ouro Preto do Oeste;8;0;5;0;13;1;0;2;1;4;5;8;1;11;5;6;3;8;8;7;14;15;2;114
110145 Parecis;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;3
110018 Pimenta Bueno;1;0;5;0;6;0;0;0;1;2;3;1;7;5;5;5;11;9;10;6;6;13;0;90
110146 Pimenteiras do Oeste;0;1;1;0;2;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;4
110020 Porto Velho;72;14;44;0;130;17;15;22;44;98;84;101;92;100;81;73;66;84;84;88;70;109;0;1358
110025 Presidente Médici;3;0;1;0;4;1;0;1;1;2;2;4;3;3;5;2;5;6;4;10;5;11;0;69
110147 Primavera de Rondônia;0;0;1;0;1;0;0;0;1;1;0;0;0;2;0;0;2;0;0;1;0;0;0;8
