"","Muni","Age","Death"
"1","110001",0,"   3"
"2","110001",1,"  2"
"3","110001",5," 0"
"4","110001",10,"  2"
"5","110001",15,"  1"
"6","110001",20,"  4"
"7","110001",25,"  1"
"8","110001",30,"   2"
"9","110001",35,"   2"
"10","110001",40,"   4"
"11","110001",45,"   4"
"12","110001",50,"   7"
"13","110001",55,"   8"
"14","110001",60,"   5"
"15","110001",65,"   9"
"16","110001",70,"  10"
"17","110001",75,"   5"
"18","110001",80,"  11"
"19","110037",0,"   4"
"20","110037",1,"  0"
"21","110037",5," 0"
"22","110037",10,"  1"
"23","110037",15,"  0"
"24","110037",20,"  2"
"25","110037",25,"  0"
"26","110037",30,"   1"
"27","110037",35,"   0"
"28","110037",40,"   2"
"29","110037",45,"   3"
"30","110037",50,"   1"
"31","110037",55,"   3"
"32","110037",60,"   1"
"33","110037",65,"   1"
"34","110037",70,"   2"
"35","110037",75,"   1"
"36","110037",80,"   5"
"37","110040",0,"   3"
"38","110040",1,"  0"
"39","110040",5," 0"
"40","110040",10,"  0"
"41","110040",15,"  1"
"42","110040",20,"  2"
"43","110040",25,"  6"
"44","110040",30,"   5"
"45","110040",35,"   2"
"46","110040",40,"   2"
"47","110040",45,"   2"
"48","110040",50,"   4"
"49","110040",55,"   7"
"50","110040",60,"   4"
"51","110040",65,"   3"
"52","110040",70,"   4"
"53","110040",75,"   5"
"54","110040",80,"   5"
"55","110034",0,"   1"
"56","110034",1,"  0"
"57","110034",5," 1"
"58","110034",10,"  0"
"59","110034",15,"  2"
"60","110034",20,"  1"
"61","110034",25,"  5"
"62","110034",30,"   1"
"63","110034",35,"   2"
"64","110034",40,"   1"
"65","110034",45,"   3"
"66","110034",50,"   3"
"67","110034",55,"   3"
"68","110034",60,"   2"
"69","110034",65,"   1"
"70","110034",70,"   4"
"71","110034",75,"   4"
"72","110034",80,"   8"
"73","110002",0,"   7"
"74","110002",1,"  2"
"75","110002",5," 3"
"76","110002",10,"  6"
"77","110002",15," 14"
"78","110002",20," 18"
"79","110002",25," 12"
"80","110002",30,"  15"
"81","110002",35,"  12"
"82","110002",40,"  23"
"83","110002",45,"  16"
"84","110002",50,"  19"
"85","110002",55,"  21"
"86","110002",60,"  21"
"87","110002",65,"  20"
"88","110002",70,"  31"
"89","110002",75,"  26"
"90","110002",80,"  44"
"91","110045",0,"   6"
"92","110045",1,"  0"
"93","110045",5," 2"
"94","110045",10,"  1"
"95","110045",15,"  4"
"96","110045",20,"  4"
"97","110045",25,"  6"
"98","110045",30,"   9"
"99","110045",35,"   7"
"100","110045",40,"   3"
"101","110045",45,"   3"
