Municipio;0 a 6 dias;7 a 27 dias;28 a 364 dias;Menor 1 ano (ign);Menor que 1 ano;1 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 24 anos;25 a 29 anos;30 a 34 anos;35 a 39 anos;40 a 44 anos;45 a 49 anos;50 a 54 anos;55 a 59 anos;60 a 64 anos;65 a 69 anos;70 a 74 anos;75 a 79 anos;80 anos e mais;Idade ignorada;Total
110001 Alta Floresta D'Oeste;1;0;2;0;3;1;0;0;1;0;1;2;1;1;3;1;1;2;3;2;3;2;0;27
110037 Alto Alegre dos Parecis;3;2;0;0;5;0;0;0;0;1;0;0;0;1;0;3;0;0;1;0;1;4;0;16
110040 Alto Paraíso;1;0;0;0;1;0;0;0;0;0;2;2;2;0;0;1;0;0;3;3;1;1;0;16
110034 Alvorada D'Oeste;0;0;0;0;0;0;0;0;0;2;0;0;0;1;1;1;1;0;2;2;1;5;0;16
110002 Ariquemes;4;1;1;0;6;1;1;0;3;1;0;4;4;3;2;11;7;6;17;14;12;32;0;124
110045 Buritis;1;1;3;0;5;1;1;2;0;2;2;2;1;1;2;3;1;2;6;2;9;4;1;47
110003 Cabixi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;1;0;2;2;2;0;10
110060 Cacaulândia;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;2;1;0;6
110004 Cacoal;2;0;3;0;5;1;3;0;1;3;3;5;1;5;8;8;7;13;10;21;17;37;0;148
110070 Campo Novo de Rondônia;0;0;2;0;2;1;0;0;0;1;0;1;1;1;2;0;0;0;1;0;1;1;0;12
110080 Candeias do Jamari;0;1;1;0;2;0;0;0;1;0;3;1;1;0;2;3;1;0;1;4;1;3;0;23
110090 Castanheiras;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;2
110005 Cerejeiras;1;0;2;0;3;0;0;0;0;0;1;1;0;1;2;0;1;4;3;2;4;5;1;28
110092 Chupinguaia;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;5
110006 Colorado do Oeste;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;4;4;4;3;4;10;0;32
110007 Corumbiara;0;0;1;0;1;1;0;0;0;0;1;1;0;0;1;1;0;0;1;1;0;1;0;9
