Municipio;0 a 6 dias;7 a 27 dias;28 a 364 dias;Menor que 1 ano;1 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 24 anos;25 a 29 anos;30 a 34 anos;35 a 39 anos;40 a 44 anos;45 a 49 anos;50 a 54 anos;55 a 59 anos;60 a 64 anos;65 a 69 anos;70 a 74 anos;75 a 79 anos;80 anos e mais;Idade ignorada;Total
110001 Alta Floresta D'Oeste;2;0;1;3;0;0;0;0;3;0;0;1;0;3;5;2;1;13;6;9;10;0;56
110037 Alto Alegre dos Parecis;1;0;0;1;0;0;1;1;3;1;2;3;1;0;0;1;3;1;2;2;7;0;29
110040 Alto Paraíso;0;0;0;0;2;0;1;2;5;3;1;6;3;6;1;2;2;2;5;1;3;1;46
110034 Alvorada D'Oeste;0;0;1;1;0;0;0;0;0;3;2;1;0;0;3;4;2;2;6;3;8;0;35
110002 Ariquemes;6;0;4;10;1;4;1;8;17;15;15;16;17;21;16;20;21;26;19;21;34;0;282
110045 Buritis;3;0;0;3;0;0;3;0;5;6;2;5;2;3;5;7;3;6;4;2;7;3;66
110003 Cabixi;2;0;0;2;0;0;0;0;0;1;1;1;1;0;0;2;1;3;4;2;1;0;19
110060 Cacaulândia;0;0;0;0;0;0;1;0;1;1;2;1;0;0;1;1;2;1;0;5;0;0;16
110004 Cacoal;5;0;2;7;0;2;0;7;6;4;7;10;5;7;13;14;17;9;25;23;53;0;209
110070 Campo Novo de Rondônia;2;0;1;3;0;0;0;1;2;1;3;1;2;3;1;0;1;3;0;2;1;0;24
110080 Candeias do Jamari;5;2;2;9;3;1;0;1;5;2;8;3;4;4;5;7;3;4;6;5;8;3;81
110090 Castanheiras;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;1;2;0;1;1;0;8
110005 Cerejeiras;0;0;1;1;1;0;0;1;2;1;2;1;0;3;3;4;6;4;6;5;9;0;49
110092 Chupinguaia;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;2;1;1;1;2;2;0;13
110006 Colorado do Oeste;0;0;2;2;0;1;1;3;1;0;0;1;1;2;4;3;7;12;5;5;9;0;57
110007 Corumbiara;1;0;2;3;0;2;1;0;2;0;0;0;0;1;0;3;3;0;2;0;1;1;19
110008 Costa Marques;2;0;0;2;0;0;0;0;1;1;3;1;1;1;2;1;2;3;2;1;2;0;23
110094 Cujubim;0;0;1;1;0;0;0;0;2;2;0;0;2;2;4;4;3;3;2;0;4;0;29
110009 Espigão D'Oeste;2;1;0;3;2;0;0;1;4;0;2;2;7;4;6;2;7;5;11;14;13;0;83
110100 Governador Jorge Teixeira;1;1;0;2;0;0;0;0;1;1;1;2;2;1;0;0;1;2;0;0;6;0;19
110010 Guajará-Mirim;1;0;6;7;2;1;3;2;4;4;1;2;7;10;6;6;10;5;11;7;31;0;119
110110 Itapuã do Oeste;2;0;0;2;1;0;0;1;2;0;3;3;5;1;0;2;3;4;1;1;0;0;29
110011 Jaru;1;1;1;3;2;2;0;4;6;7;8;4;8;8;7;13;4;7;11;19;22;1;136
110012 Ji-Paraná;10;1;3;14;3;2;4;9;14;22;17;15;13;28;27;32;31;44;44;39;60;0;418
110013 Machadinho D'Oeste;0;0;1;1;1;2;2;1;4;5;2;7;6;3;8;12;2;1;5;5;9;0;76
110120 Ministro Andreazza;0;0;0;0;0;0;0;1;1;0;0;0;1;1;3;3;3;3;2;0;10;0;28
110130 Mirante da Serra;1;0;1;2;0;1;0;1;1;2;2;0;2;3;1;1;1;2;1;9;6;0;35
110140 Monte Negro;1;0;0;1;0;0;0;1;2;3;2;5;4;6;2;1;2;5;4;3;8;0;49
110014 Nova Brasilândia D'Oeste;0;1;0;1;0;0;0;0;2;0;2;1;2;2;1;1;3;5;3;3;13;0;39
110033 Nova Mamoré;0;2;0;2;0;0;1;2;2;7;1;5;6;2;4;5;3;3;8;5;3;2;61
110143 Nova União;1;0;0;1;0;0;0;0;0;0;1;0;0;1;1;1;1;1;2;0;3;0;12
110050 Novo Horizonte do Oeste;0;0;0;0;1;0;0;1;1;0;2;0;2;2;1;0;2;0;5;5;6;0;28
110015 Ouro Preto do Oeste;3;1;1;5;2;1;2;1;5;2;4;2;3;2;4;8;5;9;13;15;25;0;108
110145 Parecis;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;1;0;0;3;0;8
110018 Pimenta Bueno;4;0;1;5;1;0;1;3;4;3;6;1;5;2;7;9;12;7;7;3;9;0;85
110146 Pimenteiras do Oeste;2;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;1;0;6
110020 Porto Velho;31;11;22;64;15;6;11;47;69;70;72;68;68;100;82;110;105;93;105;78;159;11;1333
110025 Presidente Médici;3;1;0;4;0;0;0;0;1;0;5;2;2;3;6;6;4;5;6;4;15;0;63
110147 Primavera de Rondônia;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;3;1;1;2;0;10
110026 Rio Crespo;0;0;0;0;0;0;0;0;0;1;0;0;1;2;1;0;0;3;2;0;3;0;13
110028 Rolim de Moura;3;0;1;4;1;1;1;3;1;3;2;5;5;7;10;6;15;16;18;14;20;0;132
110029 Santa Luzia D'Oeste;0;0;1;1;0;0;0;0;1;0;2;0;2;3;1;2;3;3;4;3;7;0;32
110148 São Felipe D'Oeste;0;0;0;0;0;1;0;1;0;0;1;1;1;0;0;0;0;0;1;1;3;0;10
110149 São Francisco do Guaporé;0;0;0;0;0;1;0;2;0;3;1;1;1;5;3;1;0;5;4;3;6;0;36
110032 São Miguel do Guaporé;1;0;0;1;2;0;0;1;0;0;3;2;4;3;4;0;2;4;4;3;2;0;35
110150 Seringueiras;2;2;1;5;0;0;0;2;1;2;0;3;0;3;1;3;2;3;5;4;3;0;37
110155 Teixeirópolis;0;0;1;1;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;1;1;0;7
110160 Theobroma;1;0;0;1;0;0;1;0;0;1;1;2;1;1;0;1;1;3;0;2;3;0;18
110170 Urupá;0;1;0;1;0;0;0;1;0;1;2;0;2;0;0;1;4;2;3;2;2;0;21
110175 Vale do Anari;1;0;0;1;0;1;1;1;1;2;3;1;1;2;2;2;2;2;1;1;1;0;25
110180 Vale do Paraíso;1;0;0;1;0;0;0;1;0;0;1;0;1;2;2;0;3;1;5;2;4;0;23
110030 Vilhena;10;3;2;15;1;1;0;3;7;9;10;6;10;11;12;13;17;17;22;26;32;0;212
110000 Município ignorado - RO;0;0;0;0;0;0;0;0;1;0;1;4;1;1;2;0;1;2;0;0;2;3;18
120001 Acrelândia;1;0;2;3;0;0;0;1;0;0;1;2;2;0;2;4;2;1;2;3;7;0;30
120005 Assis Brasil;0;0;1;1;3;0;0;1;1;0;0;0;0;0;0;1;0;0;2;3;3;0;15
120010 Brasiléia;1;1;1;3;0;0;2;4;1;1;2;0;3;0;1;0;2;5;11;7;16;0;58
120013 Bujari;1;0;1;2;1;0;0;1;0;2;0;0;0;1;0;0;1;2;1;2;4;0;17
120017 Capixaba;0;0;0;0;2;1;0;0;1;0;0;0;2;1;0;0;2;3;1;0;3;0;16
120020 Cruzeiro do Sul;8;0;6;14;6;2;4;12;11;6;8;8;9;10;4;9;11;18;25;15;42;0;214
120025 Epitaciolândia;0;1;2;3;0;0;0;1;1;0;0;0;1;1;0;0;2;1;4;8;3;0;25
120030 Feijó;3;0;9;12;4;0;1;6;2;2;2;7;7;5;4;4;1;4;5;2;18;0;86
120032 Jordão;0;2;8;10;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;2;1;0;17
120033 Mâncio Lima;2;0;1;3;0;1;1;1;1;1;1;4;1;2;2;3;1;3;4;1;5;0;35
120034 Manoel Urbano;2;0;1;3;0;0;0;1;0;2;0;1;1;0;0;0;2;1;0;0;2;0;13
120035 Marechal Thaumaturgo;3;0;0;3;0;0;1;0;0;1;0;2;1;0;1;1;2;1;1;0;4;0;18
120038 Plácido de Castro;0;0;1;1;0;0;1;1;2;2;1;2;2;3;7;1;3;5;7;4;9;0;51
120080 Porto Acre;1;0;1;2;0;1;0;1;1;1;3;1;4;0;2;2;1;6;3;3;8;0;39
120039 Porto Walter;0;0;0;0;1;0;0;0;1;0;1;1;2;1;0;0;1;0;1;0;2;0;11
120040 Rio Branco;31;5;13;49;13;6;1;20;37;37;48;44;43;49;66;64;56;74;72;85;190;3;957
120042 Rodrigues Alves;0;0;0;0;0;1;0;2;1;0;2;1;3;0;1;1;3;1;3;2;3;0;24
120043 Santa Rosa do Purus;1;0;5;6;0;0;0;0;0;1;0;0;0;1;0;2;2;0;0;1;1;0;14
120050 Sena Madureira;7;1;2;10;2;0;1;6;7;5;3;7;4;6;2;5;4;10;9;11;14;0;106
120045 Senador Guiomard;2;1;2;5;2;0;0;1;0;4;2;4;1;6;3;5;4;4;5;7;13;0;66
120060 Tarauacá;6;1;3;10;2;0;1;6;2;7;5;3;5;6;3;4;3;2;4;8;13;0;84
120070 Xapuri;0;0;1;1;0;2;1;4;1;3;0;2;2;2;2;3;4;7;4;3;16;0;57
120000 Município ignorado - AC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2
130002 Alvarães;3;0;0;3;1;0;0;1;1;0;1;0;1;0;0;1;1;0;1;3;6;0;20
130006 Amaturá;4;1;2;7;1;1;0;1;2;1;1;1;0;0;0;1;2;0;1;0;4;0;23
130008 Anamã;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;1;1;2;0;0;7
130010 Anori;2;0;2;4;0;0;0;0;0;1;1;2;3;1;1;0;4;1;5;1;2;0;26
130014 Apuí;1;0;0;1;0;0;0;1;1;0;1;1;0;1;3;2;3;5;1;2;4;0;26
130020 Atalaia do Norte;2;0;2;4;0;1;0;1;1;3;0;1;0;1;0;0;0;4;1;2;2;0;21
130030 Autazes;0;0;1;1;3;0;1;1;1;5;3;2;4;1;4;4;7;3;8;8;18;0;74
130040 Barcelos;0;0;0;0;0;0;0;1;1;2;3;2;1;2;4;0;2;4;7;3;2;0;34
130050 Barreirinha;2;0;3;5;0;1;1;1;2;3;1;1;1;3;2;2;2;2;4;6;9;0;46
130060 Benjamin Constant;5;1;2;8;5;3;2;3;14;4;0;0;1;6;0;2;2;3;2;5;12;0;72
130063 Beruri;1;0;1;2;1;0;1;3;0;0;0;0;1;0;0;3;1;1;2;3;7;0;25
130068 Boa Vista do Ramos;1;0;0;1;0;0;0;1;0;1;0;0;0;3;0;1;1;0;1;2;3;0;14
130070 Boca do Acre;0;2;1;3;1;1;0;4;4;4;4;2;3;2;3;4;4;2;3;4;8;0;56
130080 Borba;0;1;4;5;6;1;0;3;3;6;5;3;3;1;5;4;2;2;10;5;24;0;88
130083 Caapiranga;1;0;1;2;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;2;0;7
130090 Canutama;2;0;1;3;0;0;0;2;0;1;0;0;0;0;0;1;2;1;1;4;2;0;17
130100 Carauari;6;0;3;9;0;0;0;4;4;3;5;2;2;4;0;3;2;4;5;5;12;0;64
130110 Careiro;5;0;0;5;1;2;0;3;0;2;1;3;1;1;1;8;1;2;3;8;13;0;55
130115 Careiro da Várzea;0;0;2;2;0;0;2;1;0;2;3;1;1;1;1;4;4;6;5;2;6;0;41
130120 Coari;12;2;5;19;1;2;2;4;13;10;4;8;3;4;8;8;10;6;14;10;22;0;148
130130 Codajás;2;0;0;2;0;0;0;1;1;0;1;1;1;3;3;4;1;6;1;4;4;0;33
130140 Eirunepé;9;1;4;14;5;1;0;5;8;6;5;4;4;1;2;3;4;4;6;5;14;0;91
130150 Envira;1;0;5;6;3;0;1;0;1;1;0;0;2;1;1;1;2;1;0;3;1;0;24
130160 Fonte Boa;6;2;2;10;0;1;0;1;0;1;2;1;1;1;0;2;2;3;2;1;4;0;32
130165 Guajará;1;1;1;3;0;1;0;2;2;3;3;2;0;2;1;1;2;2;3;2;4;0;33
130170 Humaitá;2;2;4;8;1;1;0;1;4;1;6;3;1;0;4;5;10;6;14;8;17;1;91
130180 Ipixuna;2;0;0;2;1;1;0;1;1;0;4;1;2;1;2;0;2;0;3;0;2;0;23
130185 Iranduba;5;0;2;7;3;1;0;6;1;1;8;5;3;5;7;6;6;12;5;8;11;0;95
130190 Itacoatiara;16;2;3;21;4;1;1;10;7;8;11;6;2;8;13;13;13;15;18;29;57;0;237
130195 Itamarati;2;0;0;2;1;0;0;1;3;0;3;0;0;1;1;0;1;0;0;2;1;0;16
130200 Itapiranga;0;0;0;0;1;0;0;1;0;0;0;1;0;0;2;1;3;2;0;3;3;0;17
130210 Japurá;0;0;0;0;1;1;0;0;1;1;1;0;1;1;0;0;0;0;1;0;3;0;11
130220 Juruá;1;1;1;3;1;0;0;0;1;0;2;0;1;1;0;0;2;0;2;1;4;0;18
130230 Jutaí;1;1;0;2;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;6
130240 Lábrea;6;2;3;11;0;0;2;6;2;1;2;3;2;1;2;4;7;6;8;5;10;2;74
130250 Manacapuru;8;1;5;14;4;2;5;12;8;11;8;14;8;4;13;15;9;12;22;20;37;0;218
130255 Manaquiri;1;0;0;1;1;0;0;0;0;2;3;0;2;2;0;2;3;2;2;1;9;0;30
130260 Manaus;143;59;114;316;64;40;50;286;357;349;281;245;252;294;321;347;377;394;390;377;737;14;5491
130270 Manicoré;3;0;1;4;1;4;1;3;2;3;2;5;5;6;5;2;4;7;7;0;17;0;78
130280 Maraã;2;2;2;6;2;2;0;1;0;1;0;1;1;0;1;1;0;0;1;0;3;0;20
130290 Maués;6;0;6;12;2;2;2;2;8;5;4;0;2;5;3;5;4;9;10;17;28;0;120
130300 Nhamundá;1;1;0;2;0;0;0;0;2;1;0;0;0;1;1;3;1;2;5;3;5;0;26
130310 Nova Olinda do Norte;4;0;2;6;3;0;1;0;2;4;1;2;3;4;1;5;3;1;2;3;15;0;56
130320 Novo Airão;1;1;4;6;1;2;0;2;0;0;0;1;2;0;0;1;2;1;5;1;10;0;34
130330 Novo Aripuanã;1;0;0;1;0;0;0;0;1;1;1;0;1;0;3;1;4;0;1;1;6;0;21
130340 Parintins;18;2;9;29;1;3;4;2;7;4;9;7;5;5;11;16;15;11;14;24;58;1;226
130350 Pauini;0;1;3;4;0;0;0;0;0;0;0;0;0;1;3;2;0;1;2;2;2;0;17
130353 Presidente Figueiredo;3;0;1;4;1;2;2;1;3;1;4;2;3;4;1;2;7;6;6;1;8;0;58
130356 Rio Preto da Eva;3;2;1;6;1;0;2;2;2;3;3;0;2;6;2;6;1;3;4;2;3;2;50
130360 Santa Isabel do Rio Negro;1;1;1;3;2;1;1;2;2;1;0;2;0;1;1;0;2;3;2;1;3;0;27
130370 Santo Antônio do Içá;1;0;1;2;1;0;1;1;0;0;1;0;1;0;1;1;4;0;2;4;10;0;29
130380 São Gabriel da Cachoeira;9;2;14;25;6;1;3;5;9;3;9;5;9;3;2;2;3;1;7;8;9;0;110
130390 São Paulo de Olivença;4;1;6;11;3;0;2;3;1;4;1;0;0;2;1;1;0;2;3;0;9;0;43
130395 São Sebastião do Uatumã;1;0;0;1;0;0;0;0;0;1;0;2;0;1;0;2;1;1;0;1;7;0;17
130400 Silves;0;0;1;1;0;0;0;1;0;0;0;0;0;1;1;0;1;1;1;2;4;0;13
130406 Tabatinga;4;3;7;14;3;2;2;1;11;7;6;3;5;6;2;4;5;7;3;7;10;0;98
130410 Tapauá;1;0;2;3;1;0;1;1;1;1;0;0;0;0;2;0;2;1;5;2;8;0;28
130420 Tefé;9;1;2;12;3;1;1;9;6;9;3;3;2;10;5;5;8;5;6;3;18;0;109
130423 Tonantins;0;0;0;0;0;0;0;0;3;0;0;1;1;0;1;0;1;3;1;4;4;0;19
130426 Uarini;3;0;2;5;1;1;1;0;2;2;0;0;1;0;1;0;1;0;2;0;5;0;22
130430 Urucará;1;0;0;1;0;0;0;3;1;1;0;1;0;1;2;2;2;0;2;2;8;0;26
130440 Urucurituba;0;0;0;0;1;0;0;0;2;1;0;0;1;0;1;0;1;3;1;3;7;0;21
130000 Município ignorado - AM;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;2;1;0;3;9
140005 Alto Alegre;2;1;2;5;1;0;0;1;1;2;2;0;1;3;4;3;3;2;3;1;6;1;39
140002 Amajari;1;0;0;1;1;1;1;0;0;2;0;0;0;1;0;0;1;1;1;2;2;0;14
140010 Boa Vista;24;5;7;36;9;2;7;23;37;37;37;35;31;30;35;54;53;52;46;38;102;4;668
140015 Bonfim;1;0;1;2;1;1;0;1;1;1;2;1;0;1;2;2;1;1;2;1;2;0;22
140017 Cantá;0;0;1;1;1;0;0;4;0;1;2;3;2;1;0;3;3;2;2;0;9;0;34
140020 Caracaraí;1;0;1;2;1;1;0;0;1;3;2;4;0;2;2;1;1;5;2;4;9;0;40
140023 Caroebe;0;0;0;0;1;0;0;2;0;3;1;1;2;1;0;1;2;1;1;2;6;0;24
140028 Iracema;1;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;1;1;2;0;0;0;8
140030 Mucajaí;1;0;1;2;1;0;1;4;4;1;4;3;1;1;2;1;3;3;3;5;6;0;45
140040 Normandia;0;1;2;3;0;0;0;1;0;0;1;0;1;0;0;0;0;2;1;0;0;0;9
140045 Pacaraima;2;1;5;8;1;0;0;1;1;2;0;1;3;1;2;2;1;0;3;2;2;0;30
140047 Rorainópolis;4;1;0;5;3;0;3;2;2;2;3;4;3;1;2;2;5;6;3;2;4;0;52
140050 São João da Baliza;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;1;1;0;1;1;1;0;8
140060 São Luiz;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;5
140070 Uiramutã;1;0;7;8;1;0;0;1;0;0;1;2;1;0;0;0;0;0;0;1;2;0;17
140000 Município ignorado - RR;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;4
150010 Abaetetuba;16;3;1;20;3;1;1;13;11;17;15;15;14;9;23;24;22;27;29;35;48;1;328
150013 Abel Figueiredo;0;1;1;2;1;0;0;0;1;1;4;0;1;1;1;2;1;0;1;0;6;0;22
150020 Acará;4;2;1;7;0;0;2;3;6;10;6;5;5;2;2;4;7;4;10;11;14;2;100
150030 Afuá;2;3;3;8;0;1;1;0;3;5;1;0;1;2;5;6;2;2;5;4;3;0;49
150034 Água Azul do Norte;1;0;0;1;0;1;0;1;1;1;1;1;2;3;2;2;2;2;4;4;3;0;31
150040 Alenquer;11;1;4;16;0;1;0;5;8;7;2;2;4;6;0;8;5;8;9;17;30;0;128
150050 Almeirim;8;0;2;10;2;0;1;1;5;2;2;3;3;0;6;3;3;3;6;5;7;0;62
150060 Altamira;8;3;12;23;10;4;4;20;20;20;22;18;18;12;16;15;23;20;23;25;40;8;341
150070 Anajás;4;0;2;6;2;0;1;2;2;1;2;2;0;2;0;5;3;1;1;5;7;0;42
150080 Ananindeua;54;20;23;97;9;7;6;90;105;96;78;74;76;68;77;80;101;89;97;99;171;0;1420
150085 Anapu;2;0;1;3;2;0;1;2;1;1;2;1;3;0;2;0;1;2;1;4;1;0;27
150090 Augusto Corrêa;3;3;3;9;3;0;1;3;1;2;4;2;6;3;5;5;7;6;5;10;15;0;87
150095 Aurora do Pará;2;1;0;3;1;0;1;3;1;3;3;1;3;0;2;2;4;1;3;5;6;0;42
150100 Aveiro;1;1;0;2;0;0;0;1;2;1;1;0;1;2;2;2;1;0;1;3;4;0;23
150110 Bagre;3;0;5;8;1;0;1;3;0;2;3;0;1;0;1;5;4;0;1;3;3;0;36
150120 Baião;3;1;0;4;1;1;1;0;1;2;3;3;2;6;1;6;3;6;3;1;10;0;54
150125 Bannach;1;0;0;1;1;0;0;0;0;0;0;0;0;1;1;2;1;0;0;4;4;0;15
150130 Barcarena;7;4;4;15;5;3;1;10;14;10;15;10;6;5;12;15;12;13;20;15;36;0;217
150140 Belém;125;27;64;216;23;19;35;217;228;216;186;158;183;198;285;302;328;355;404;383;753;16;4505
150145 Belterra;2;0;0;2;1;1;0;3;2;1;1;0;2;2;2;3;3;4;4;4;10;0;45
150150 Benevides;3;1;2;6;3;0;1;7;12;13;8;14;8;7;5;13;9;13;13;13;28;2;175
150157 Bom Jesus do Tocantins;1;1;0;2;1;0;1;1;2;1;1;1;2;3;3;1;2;7;5;5;6;1;45
150160 Bonito;0;0;0;0;0;0;0;0;0;0;2;2;1;1;1;3;1;0;0;1;1;0;13
150170 Bragança;11;4;6;21;5;1;2;1;10;10;14;6;7;10;22;18;21;32;30;37;60;0;307
150172 Brasil Novo;0;0;0;0;0;0;0;1;2;1;1;1;6;3;5;5;3;3;5;4;7;0;47
150175 Brejo Grande do Araguaia;2;0;2;4;0;0;0;0;2;1;3;1;0;0;2;2;1;2;2;1;4;0;25
150178 Breu Branco;1;1;1;3;0;1;1;2;11;13;7;4;5;4;6;3;6;5;10;4;22;0;107
150180 Breves;12;7;9;28;7;2;4;5;9;8;6;5;4;4;8;14;11;5;16;11;37;0;184
150190 Bujaru;2;3;3;8;0;0;0;0;4;4;1;4;1;2;1;1;4;9;3;8;11;0;61
150200 Cachoeira do Arari;1;0;1;2;0;0;0;0;4;0;0;1;0;0;2;1;1;2;4;1;3;0;21
150195 Cachoeira do Piriá;1;0;1;2;1;0;2;1;0;1;3;0;1;2;1;2;2;5;1;4;4;0;32
150210 Cametá;19;3;7;29;6;0;4;4;8;15;10;8;6;14;10;13;12;13;24;28;57;0;261
150215 Canaã dos Carajás;3;3;1;7;1;1;0;3;10;7;5;1;7;7;8;4;5;3;8;1;5;0;83
150220 Capanema;7;5;4;16;1;1;1;3;8;11;6;6;8;8;12;11;10;15;14;20;39;0;190
150230 Capitão Poço;2;0;2;4;1;0;2;5;5;8;6;5;7;4;6;2;9;9;8;10;21;1;113
150240 Castanhal;16;5;5;26;2;4;6;37;48;44;35;21;23;32;34;22;28;47;44;33;90;4;580
150250 Chaves;4;1;0;5;0;1;0;0;1;1;0;1;1;2;0;3;3;1;1;2;2;0;24
150260 Colares;1;0;1;2;0;0;0;0;1;0;0;0;2;0;2;2;1;2;2;8;2;0;24
150270 Conceição do Araguaia;4;1;0;5;3;3;0;4;3;7;7;12;7;11;8;12;15;12;19;18;24;0;170
150275 Concórdia do Pará;4;0;1;5;1;0;1;7;6;2;1;0;4;2;5;2;5;3;4;6;13;0;67
150276 Cumaru do Norte;2;0;1;3;0;0;1;0;2;0;1;1;0;1;1;2;1;1;1;1;0;0;16
150277 Curionópolis;1;1;0;2;1;0;1;3;1;5;5;4;1;3;5;4;2;7;11;6;8;3;72
150280 Curralinho;4;2;2;8;4;0;0;1;0;1;0;1;1;0;0;1;4;1;1;4;7;0;34
150285 Curuá;4;0;2;6;0;1;0;0;2;2;0;0;0;0;0;0;2;3;4;2;0;0;22
150290 Curuçá;4;1;1;6;0;1;0;3;5;5;2;4;4;3;1;5;3;4;5;9;19;0;79
150293 Dom Eliseu;5;1;6;12;0;0;2;6;12;8;9;3;6;3;5;5;9;9;4;10;4;0;107
150295 Eldorado do Carajás;0;0;3;3;2;2;2;5;9;2;8;2;5;4;9;7;7;5;7;3;11;1;94
150300 Faro;1;0;0;1;1;0;0;1;0;0;1;0;0;1;1;3;0;3;2;3;4;0;21
150304 Floresta do Araguaia;2;0;1;3;1;1;0;1;3;2;2;3;4;2;3;6;2;0;2;8;5;0;48
150307 Garrafão do Norte;3;0;0;3;0;0;2;1;9;6;5;5;0;2;2;1;5;3;3;3;9;0;59
150309 Goianésia do Pará;1;3;1;5;2;1;1;5;11;4;5;4;4;4;8;6;7;6;12;2;3;3;93
150310 Gurupá;3;0;1;4;1;0;1;2;5;1;2;1;0;0;2;0;1;1;6;1;6;0;34
150320 Igarapé-Açu;1;2;0;3;1;1;0;0;5;3;3;1;7;4;1;7;9;11;14;8;23;0;101
150330 Igarapé-Miri;6;0;3;9;4;0;3;8;7;7;5;2;2;4;3;8;7;12;13;9;30;0;133
150340 Inhangapi;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;2;2;3;0;1;5;0;15
150345 Ipixuna do Pará;3;1;0;4;1;0;0;2;3;4;2;2;6;4;3;4;3;4;6;2;4;0;54
150350 Irituia;3;0;0;3;1;1;0;1;5;5;2;4;2;2;1;5;9;5;7;3;17;0;73
150360 Itaituba;19;5;7;31;4;4;2;15;15;12;17;13;14;30;19;22;29;15;17;23;34;1;317
150370 Itupiranga;4;1;0;5;1;1;3;7;6;8;9;5;9;5;7;6;9;13;11;7;19;0;131
150375 Jacareacanga;5;0;0;5;0;0;0;0;0;0;3;2;4;3;5;3;0;2;3;0;0;0;30
150380 Jacundá;7;2;2;11;0;0;0;6;9;4;8;13;5;7;6;10;16;13;12;20;20;0;160
150390 Juruti;12;1;2;15;1;0;2;2;0;0;2;1;2;1;1;0;4;7;3;3;5;0;49
150400 Limoeiro do Ajuru;3;2;2;7;2;1;0;1;0;2;0;3;0;0;0;2;5;2;4;3;6;0;38
150405 Mãe do Rio;0;0;3;3;0;0;0;2;2;2;0;6;3;3;3;5;7;14;10;14;12;0;86
150410 Magalhães Barata;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;2;0;1;8;0;15
150420 Marabá;27;7;12;46;6;6;9;42;90;75;61;54;46;39;44;44;49;39;53;56;104;8;871
150430 Maracanã;0;2;1;3;0;1;0;1;1;3;1;3;5;4;2;4;4;7;8;4;27;0;78
150440 Marapanim;1;0;1;2;1;0;0;1;1;3;1;1;5;0;3;3;12;8;5;9;19;0;74
150442 Marituba;5;3;4;12;6;0;4;36;39;22;21;18;19;21;17;17;24;20;22;23;33;4;358
150445 Medicilândia;0;2;1;3;0;0;0;1;4;5;2;4;1;5;3;2;6;9;9;8;9;0;71
150450 Melgaço;3;0;5;8;4;1;0;1;1;1;1;0;2;1;0;4;0;1;0;2;3;1;31
150460 Mocajuba;3;0;1;4;0;0;0;2;3;2;1;2;1;0;2;2;4;5;2;8;14;0;52
150470 Moju;6;3;5;14;3;1;1;11;19;7;7;1;7;9;5;5;6;9;9;4;14;0;132
150480 Monte Alegre;6;3;3;12;0;2;0;4;5;5;2;5;4;3;7;8;10;9;11;14;15;0;116
150490 Muaná;4;3;0;7;4;1;0;1;0;2;0;2;4;3;1;6;3;7;4;4;13;0;62
150495 Nova Esperança do Piriá;2;1;0;3;1;1;0;0;3;4;6;2;2;2;0;0;1;3;5;6;5;0;44
150497 Nova Ipixuna;1;1;0;2;0;0;1;2;3;3;2;0;3;0;4;2;5;1;3;0;8;0;39
150500 Nova Timboteua;1;0;0;1;0;1;0;0;0;0;3;0;2;2;3;5;3;2;3;2;11;0;38
150503 Novo Progresso;1;0;2;3;0;1;1;2;3;5;8;8;7;11;11;7;5;3;3;8;6;6;98
150506 Novo Repartimento;5;4;3;12;2;2;3;3;6;7;8;6;7;4;7;6;8;8;6;11;9;1;116
150510 Óbidos;9;2;1;12;0;0;1;2;2;3;3;2;6;4;6;4;10;8;8;16;18;0;105
150520 Oeiras do Pará;15;1;3;19;4;2;1;3;1;2;1;1;2;1;1;2;4;2;3;2;10;0;61
150530 Oriximiná;10;1;0;11;4;0;4;2;5;5;6;4;3;5;8;9;17;11;15;12;36;0;157
150540 Ourém;1;0;0;1;1;0;2;1;2;1;2;0;0;2;1;1;5;3;3;3;7;1;36
150543 Ourilândia do Norte;2;1;0;3;4;0;1;2;2;8;3;4;9;3;3;3;3;7;6;5;9;1;76
150548 Pacajá;2;0;2;4;3;2;1;3;8;14;2;5;7;4;4;5;4;15;1;4;9;0;95
150549 Palestina do Pará;0;1;0;1;0;1;1;0;1;1;0;1;4;1;2;2;4;2;1;1;2;0;25
150550 Paragominas;16;2;7;25;7;2;3;11;16;19;19;14;18;10;14;11;11;19;14;10;23;7;253
