Municipio;0 a 6 dias;7 a 27 dias;28 a 364 dias;Menor que 1 ano;1 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 24 anos;25 a 29 anos;30 a 34 anos;35 a 39 anos;40 a 44 anos;45 a 49 anos;50 a 54 anos;55 a 59 anos;60 a 64 anos;65 a 69 anos;70 a 74 anos;75 a 79 anos;80 anos e mais;Idade ignorada;Total
320050 Apiacá;0;0;0;0;0;1;0;0;1;0;0;0;1;1;1;4;5;1;0;3;14;0;32
320060 Aracruz;5;1;2;8;3;0;3;8;17;18;6;15;10;14;16;18;19;12;18;28;50;0;263
320070 Atilio Vivacqua;2;0;1;3;0;0;0;2;2;3;1;1;3;3;2;5;7;3;4;2;4;0;45
320080 Baixo Guandu;2;2;0;4;0;0;0;2;7;9;2;7;11;5;10;11;12;7;13;17;27;0;144
320090 Barra de São Francisco;4;1;2;7;1;0;3;4;9;6;5;4;8;8;10;15;12;15;15;17;40;0;179
320100 Boa Esperança;0;0;0;0;1;1;1;1;1;1;3;4;4;2;5;2;2;1;4;5;15;0;53
320110 Bom Jesus do Norte;0;0;1;1;0;1;0;1;0;0;1;0;1;1;2;4;4;4;3;6;11;0;40
320115 Brejetuba;0;0;2;2;0;0;0;0;1;2;2;3;3;3;2;2;2;2;8;2;5;0;39
320120 Cachoeiro de Itapemirim;12;1;8;21;3;2;0;25;13;24;30;27;21;38;51;57;72;68;68;75;167;5;767
320130 Cariacica;14;3;15;32;6;3;8;62;84;60;54;51;51;87;98;95;115;106;83;93;203;4;1295
320140 Castelo;1;1;0;2;1;0;2;1;2;3;6;3;7;5;11;8;10;6;11;10;44;0;132
320150 Colatina;6;0;4;10;1;0;3;11;13;15;20;12;17;21;31;31;38;29;42;53;103;1;451
320160 Conceição da Barra;1;1;1;3;0;0;2;4;5;8;4;6;2;10;8;6;4;9;7;7;17;0;102
320170 Conceição do Castelo;3;0;0;3;0;0;0;1;1;2;1;3;1;0;1;3;1;2;4;3;15;0;41
320180 Divino de São Lourenço;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;5;4;2;1;0;15
320190 Domingos Martins;2;0;1;3;1;0;0;1;4;3;4;3;3;4;6;12;7;8;10;13;21;0;103
320200 Dores do Rio Preto;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;2;1;0;0;4;0;10
320210 Ecoporanga;1;1;0;2;0;0;0;2;5;6;3;3;3;3;4;3;8;4;7;8;23;0;84
320220 Fundão;2;1;0;3;0;0;0;0;0;4;2;1;3;5;5;10;3;3;2;5;15;0;61
320225 Governador Lindenberg;1;0;1;2;0;0;1;1;2;1;1;0;3;0;4;2;4;0;4;2;10;0;37
320230 Guaçuí;2;0;4;6;1;0;1;2;3;0;0;3;6;4;8;10;7;12;9;8;26;0;106
320240 Guarapari;4;4;3;11;3;1;2;15;20;25;19;12;22;21;27;27;25;31;37;40;69;0;407
320245 Ibatiba;5;0;2;7;0;0;0;4;1;6;6;6;3;3;2;5;5;7;5;12;20;0;92
320250 Ibiraçu;1;0;1;2;0;0;0;1;0;0;3;1;1;2;1;0;1;0;3;3;13;1;32
320255 Ibitirama;0;0;1;1;1;0;1;0;3;0;4;0;2;1;3;2;0;3;1;3;7;0;32
320260 Iconha;1;0;0;1;0;1;0;0;1;0;3;2;1;3;5;4;3;4;8;2;12;0;50
320265 Irupi;1;0;0;1;0;0;0;2;0;1;1;2;3;2;6;6;2;3;2;2;5;0;38
320270 Itaguaçu;0;1;0;1;0;0;0;0;0;5;4;0;0;1;3;3;2;7;3;6;14;0;49
320280 Itapemirim;2;0;1;3;0;0;0;0;2;4;5;4;9;5;9;11;8;9;8;12;20;1;110
320290 Itarana;0;0;0;0;0;0;0;2;4;1;1;1;1;3;1;3;1;0;7;7;10;0;42
320300 Iúna;4;0;1;5;0;0;1;3;4;0;6;5;7;10;5;7;6;1;13;10;17;0;100
320305 Jaguaré;3;0;0;3;3;0;0;1;5;6;6;10;5;6;2;5;4;8;8;7;10;0;89
320310 Jerônimo Monteiro;1;0;0;1;0;0;0;0;0;2;3;2;0;2;5;1;2;0;5;6;17;0;46
320313 João Neiva;0;0;0;0;0;0;0;1;4;3;0;3;1;0;3;6;6;6;8;4;20;0;65
320316 Laranja da Terra;1;1;0;2;0;0;1;0;0;0;2;0;3;0;2;2;2;3;6;6;8;0;37
320320 Linhares;5;9;4;18;3;4;3;23;24;18;25;20;21;16;29;29;30;31;28;49;90;1;462
320330 Mantenópolis;0;0;0;0;0;0;0;3;0;3;3;1;4;3;0;5;2;4;2;4;19;0;53
320332 Marataízes;3;1;0;4;0;0;0;2;3;4;3;4;8;8;8;11;14;9;11;14;33;0;136
320334 Marechal Floriano;0;1;0;1;0;0;0;1;0;0;1;1;1;1;2;3;3;2;5;8;12;0;41
320335 Marilândia;0;0;0;0;0;1;0;0;0;0;0;1;2;4;2;7;4;2;6;4;7;0;40
320340 Mimoso do Sul;5;0;1;6;1;0;0;0;3;0;3;6;2;6;7;7;7;10;7;12;23;0;100
320350 Montanha;1;0;0;1;1;0;0;2;0;3;7;2;1;4;4;7;7;7;3;9;19;0;77
320360 Mucurici;0;0;1;1;0;0;0;0;1;0;0;1;1;3;0;1;1;2;1;3;4;0;19
320370 Muniz Freire;1;0;1;2;1;1;0;1;4;1;0;1;2;4;4;8;6;5;3;5;22;0;70
320380 Muqui;0;0;1;1;1;0;1;0;2;0;5;0;0;2;1;3;10;5;7;4;18;0;60
320390 Nova Venécia;5;1;1;7;0;0;0;1;6;4;7;6;8;9;14;12;14;14;15;12;36;0;165
320400 Pancas;1;1;1;3;0;1;1;1;3;4;4;3;4;2;10;4;9;5;5;7;19;0;85
320405 Pedro Canário;2;1;2;5;1;1;0;4;7;2;5;6;7;3;5;3;11;5;6;9;13;0;93
320410 Pinheiros;1;0;1;2;1;1;1;3;6;9;7;6;6;4;3;6;6;10;12;11;20;0;114
320420 Piúma;1;0;0;1;0;0;0;3;1;4;2;2;3;2;4;4;5;5;8;4;12;0;60
320425 Ponto Belo;0;0;0;0;1;0;0;0;0;2;0;0;1;0;1;2;0;1;2;1;9;0;20
320430 Presidente Kennedy;0;0;0;0;0;1;0;4;0;2;1;1;3;4;3;1;1;4;5;2;14;0;46
320435 Rio Bananal;0;1;0;1;0;0;0;0;0;4;3;2;2;4;3;4;2;7;2;6;12;0;52
320440 Rio Novo do Sul;0;0;1;1;0;0;0;0;1;1;1;1;2;3;4;1;2;1;5;5;5;0;33
320450 Santa Leopoldina;0;0;0;0;0;1;0;0;0;1;0;2;2;2;3;2;2;6;3;7;14;0;45
320455 Santa Maria de Jetibá;2;1;0;3;0;0;1;1;2;7;1;4;2;8;10;7;12;8;9;20;18;0;113
320460 Santa Teresa;1;0;0;1;0;0;0;2;3;3;2;1;2;3;6;4;8;8;8;12;23;0;86
320465 São Domingos do Norte;0;0;0;0;0;0;0;1;1;3;1;0;6;0;4;5;3;1;1;4;4;0;34
320470 São Gabriel da Palha;3;1;0;4;0;1;0;1;3;3;6;4;3;4;8;7;9;11;9;6;26;0;105
320480 São José do Calçado;1;0;0;1;0;0;0;0;0;3;1;1;3;1;6;3;2;4;7;6;15;0;53
320490 São Mateus;8;1;6;15;2;2;0;13;17;14;20;14;20;28;28;30;36;26;24;34;62;0;385
320495 São Roque do Canaã;1;0;0;1;0;0;1;2;0;1;1;2;5;1;3;2;4;4;1;6;13;0;47
320500 Serra;26;16;21;63;12;5;12;99;123;86;72;76;70;76;95;122;99;89;113;87;160;9;1468
320501 Sooretama;1;0;1;2;1;0;0;4;10;3;6;6;4;11;10;5;9;7;9;0;15;0;102
320503 Vargem Alta;2;0;0;2;0;0;0;0;1;2;2;2;4;2;2;3;3;7;9;4;11;0;54
320506 Venda Nova do Imigrante;1;1;0;2;0;0;1;1;3;1;2;3;1;3;4;2;4;0;2;6;11;0;46
